OffspringID 	 FatherID 	 MotherID 	 ClusterIndex
PMDCKJ1_1 	 par1_1 	 par2_1 	 1
PMDCKJ1_3 	 par1_2 	 par2_1 	 1
PMDCKJ1_4 	 par1_3 	 par2_2 	 2
PMDCKJ1_5 	 par1_4 	 par2_1 	 1
PMDCKJ1_6 	 par1_3 	 par2_2 	 2
PMDCKJ1_7 	 par1_3 	 par2_2 	 2
PMDCKJ1_8 	 par1_3 	 par2_2 	 2
PMDCKJ1_9 	 par1_5 	 par2_1 	 1
PMDCKJ10_10 	 par1_6 	 par2_3 	 3
PMDCKJ10_11 	 par1_7 	 par2_4 	 4
PMDCKJ10_12 	 par1_7 	 par2_4 	 4
PMDCKJ10_14 	 par1_8 	 par2_5 	 5
PMDCKJ10_15 	 par1_6 	 par2_3 	 3
PMDCKJ10_16 	 par1_9 	 par2_6 	 6
PMDCKJ10_17 	 par1_7 	 par2_7 	 4
PMDCKJ10_18 	 par1_6 	 par2_3 	 3
PMDCKJ10_19 	 par1_7 	 par2_4 	 4
PMDCKJ10_20 	 par1_10 	 par2_3 	 3
PMDCKJ10_22 	 par1_10 	 par2_8 	 3
PMDCKJ10_6 	 par1_7 	 par2_4 	 4
PMDCKJ10_7 	 par1_7 	 par2_7 	 4
PMDCKJ10_8 	 par1_7 	 par2_4 	 4
PMDCKJ10_9 	 par1_6 	 par2_3 	 3
PMDCKJ11_1 	 par1_6 	 par2_3 	 3
PMDCKJ11_10 	 par1_11 	 par2_9 	 7
PMDCKJ11_11 	 par1_12 	 par2_10 	 8
PMDCKJ11_12 	 par1_11 	 par2_9 	 7
PMDCKJ11_13 	 par1_11 	 par2_9 	 7
PMDCKJ11_14 	 par1_11 	 par2_9 	 7
PMDCKJ11_15 	 par1_13 	 par2_11 	 9
PMDCKJ11_3 	 par1_14 	 par2_5 	 5
PMDCKJ11_4 	 par1_11 	 par2_9 	 7
PMDCKJ11_5 	 par1_6 	 par2_3 	 3
PMDCKJ11_6 	 par1_7 	 par2_4 	 4
PMDCKJ11_7 	 par1_11 	 par2_9 	 7
PMDCKJ11_8 	 par1_11 	 par2_9 	 7
PMDCKJ11_9 	 par1_11 	 par2_9 	 7
PMDCKJ4_1 	 par1_3 	 par2_12 	 2
PMDCKJ4_10 	 par1_3 	 par2_12 	 2
PMDCKJ4_11 	 par1_15 	 par2_13 	 10
PMDCKJ4_2 	 par1_16 	 par2_9 	 7
PMDCKJ4_4 	 par1_17 	 par2_12 	 2
PMDCKJ4_6 	 par1_18 	 par2_9 	 7
PMDCKJ4_7 	 par1_19 	 par2_12 	 2
PMDCKJ4_8 	 par1_11 	 par2_9 	 7
PMDCKJ4_9 	 par1_11 	 par2_9 	 7
PMDCKJ6_10 	 par1_9 	 par2_6 	 6
PMDCKJ6_11 	 par1_7 	 par2_4 	 4
PMDCKJ6_12 	 par1_9 	 par2_6 	 6
PMDCKJ6_13 	 par1_9 	 par2_6 	 6
PMDCKJ6_15 	 par1_7 	 par2_4 	 4
PMDCKJ6_16 	 par1_2 	 par2_14 	 1
PMDCKJ6_17 	 par1_7 	 par2_4 	 4
PMDCKJ6_18 	 par1_9 	 par2_6 	 6
PMDCKJ6_19 	 par1_7 	 par2_4 	 4
PMDCKJ6_20 	 par1_10 	 par2_3 	 3
PMDCKJ6_22 	 par1_20 	 par2_4 	 4
PMDCKJ6_23 	 par1_12 	 par2_15 	 8
PMDCKJ6_25 	 par1_20 	 par2_4 	 4
PMDCKJ6_26 	 par1_6 	 par2_3 	 3
PMDCKJ6_27 	 par1_13 	 par2_16 	 9
PMDCKJ6_28 	 par1_7 	 par2_4 	 4
