OffspringID 	 FatherID 	 MotherID 	 ClusterIndex
PMDCKJ6_29 	 par1_21 	 par2_4 	 4
PMDCKJ6_30 	 par1_22 	 par2_4 	 4
PMDCKJ6_31 	 par1_7 	 par2_7 	 4
PMDCKJ6_32 	 par1_7 	 par2_4 	 4
PMDCKJ6_33 	 par1_12 	 par2_10 	 8
PMDCKJ6_34 	 par1_21 	 par2_4 	 4
PMDCKJ6_35 	 par1_10 	 par2_3 	 3
PMDCKJ6_36 	 par1_7 	 par2_4 	 4
PMDCKJ6_38 	 par1_6 	 par2_3 	 3
PMDCKJ6_4 	 par1_13 	 par2_17 	 9
PMDCKJ6_5 	 par1_7 	 par2_4 	 4
PMDCKJ6_6 	 par1_13 	 par2_18 	 9
PMDCKJ6_8 	 par1_9 	 par2_19 	 6
PMDCKJ7_105 	 par1_5 	 par2_20 	 1
PMDCKJ7_11 	 par1_11 	 par2_9 	 7
PMDCKJ7_111 	 par1_11 	 par2_9 	 7
PMDCKJ7_13 	 par1_11 	 par2_9 	 7
PMDCKJ7_14 	 par1_11 	 par2_9 	 7
PMDCKJ7_15 	 par1_18 	 par2_9 	 7
PMDCKJ7_16 	 par1_11 	 par2_9 	 7
PMDCKJ7_17 	 par1_11 	 par2_9 	 7
PMDCKJ7_18 	 par1_11 	 par2_9 	 7
PMDCKJ7_20 	 par1_13 	 par2_17 	 9
PMDCKJ7_21 	 par1_11 	 par2_9 	 7
PMDCKJ7_22 	 par1_11 	 par2_9 	 7
PMDCKJ7_23 	 par1_11 	 par2_9 	 7
PMDCKJ7_24 	 par1_11 	 par2_9 	 7
PMDCKJ7_25 	 par1_7 	 par2_4 	 4
PMDCKJ7_26 	 par1_18 	 par2_9 	 7
PMDCKJ7_31 	 par1_6 	 par2_3 	 3
PMDCKJ7_32 	 par1_11 	 par2_9 	 7
PMDCKJ7_33 	 par1_3 	 par2_12 	 2
PMDCKJ7_34 	 par1_10 	 par2_3 	 3
PMDCKJ7_35 	 par1_17 	 par2_12 	 2
PMDCKJ7_36 	 par1_16 	 par2_9 	 7
PMDCKJ7_37 	 par1_18 	 par2_9 	 7
PMDCKJ7_39 	 par1_11 	 par2_9 	 7
PMDCKJ7_40 	 par1_18 	 par2_9 	 7
PMDCKJ7_41 	 par1_10 	 par2_3 	 3
PMDCKJ7_45 	 par1_11 	 par2_9 	 7
PMDCKJ7_46 	 par1_18 	 par2_9 	 7
PMDCKJ7_47 	 par1_11 	 par2_9 	 7
PMDCKJ7_48 	 par1_6 	 par2_3 	 3
PMDCKJ7_49 	 par1_11 	 par2_9 	 7
PMDCKJ7_5 	 par1_11 	 par2_9 	 7
PMDCKJ7_50 	 par1_10 	 par2_3 	 3
PMDCKJ7_51 	 par1_18 	 par2_9 	 7
PMDCKJ7_52 	 par1_11 	 par2_9 	 7
PMDCKJ7_53 	 par1_18 	 par2_9 	 7
PMDCKJ7_54 	 par1_11 	 par2_9 	 7
PMDCKJ7_55 	 par1_11 	 par2_9 	 7
PMDCKJ7_56 	 par1_10 	 par2_3 	 3
PMDCKJ7_62 	 par1_10 	 par2_3 	 3
PMDCKJ7_63 	 par1_11 	 par2_9 	 7
PMDCKJ7_64 	 par1_11 	 par2_9 	 7
PMDCKJ7_65 	 par1_11 	 par2_9 	 7
PMDCKJ7_67 	 par1_11 	 par2_9 	 7
PMDCKJ7_68 	 par1_9 	 par2_19 	 6
PMDCKJ7_69 	 par1_11 	 par2_9 	 7
PMDCKJ7_7 	 par1_11 	 par2_9 	 7
PMDCKJ7_70 	 par1_7 	 par2_4 	 4
PMDCKJ7_71 	 par1_7 	 par2_4 	 4
PMDCKJ7_72 	 par1_11 	 par2_9 	 7
PMDCKJ7_73 	 par1_7 	 par2_4 	 4
PMDCKJ7_74 	 par1_11 	 par2_9 	 7
PMDCKJ7_75 	 par1_9 	 par2_19 	 6
PMDCKJ7_76 	 par1_11 	 par2_9 	 7
PMDCKJ7_77 	 par1_11 	 par2_9 	 7
PMDCKJ7_78 	 par1_11 	 par2_9 	 7
PMDCKJ7_79 	 par1_10 	 par2_3 	 3
PMDCKJ7_8 	 par1_11 	 par2_9 	 7
PMDCKJ7_80 	 par1_11 	 par2_9 	 7
PMDCKJ7_81 	 par1_7 	 par2_4 	 4
PMDCKJ7_82 	 par1_16 	 par2_9 	 7
PMDCKJ7_84 	 par1_11 	 par2_9 	 7
PMDCKJ7_85 	 par1_11 	 par2_9 	 7
PMDCKJ7_9 	 par1_16 	 par2_9 	 7
PMDCKJ7_91 	 par1_11 	 par2_9 	 7
PMDCKJ7_92 	 par1_10 	 par2_3 	 3
PMDCKJ7_93 	 par1_6 	 par2_3 	 3
PMDCKJ7_94 	 par1_18 	 par2_9 	 7
PMDCKJ7_95 	 par1_11 	 par2_9 	 7
PMDCKJ7_96 	 par1_7 	 par2_4 	 4
PMDCKJ7_98 	 par1_7 	 par2_4 	 4
