OffspringID 	 FatherID 	 MotherID 	 ClusterIndex
PMDCKJ10_1 	 par1_1 	 par2_1 	 1
PMDCKJ10_3 	 par1_2 	 par2_1 	 1
PMDCKJ10_4 	 par1_3 	 par2_2 	 2
PMDCKJ11_2 	 par1_4 	 par2_3 	 3
PMDCKJ4_3 	 par1_5 	 par2_4 	 4
PMDCKJ6_1 	 par1_6 	 par2_5 	 5
PMDCKJ6_14 	 par1_7 	 par2_6 	 6
PMDCKJ6_2 	 par1_2 	 par2_1 	 1
PMDCKJ6_3 	 par1_2 	 par2_1 	 1
PMDCKJ6_7 	 par1_8 	 par2_6 	 6
PMDCKJ6_9 	 par1_2 	 par2_1 	 1
PMDCKJ7_1 	 par1_9 	 par2_7 	 7
PMDCKJ7_10 	 par1_10 	 par2_8 	 8
PMDCKJ7_12 	 par1_11 	 par2_2 	 2
PMDCKJ7_19 	 par1_8 	 par2_9 	 6
PMDCKJ7_2 	 par1_8 	 par2_9 	 6
PMDCKJ7_29 	 par1_8 	 par2_9 	 6
PMDCKJ7_3 	 par1_12 	 par2_5 	 5
PMDCKJ7_30 	 par1_6 	 par2_10 	 5
PMDCKJ7_38 	 par1_8 	 par2_9 	 6
PMDCKJ7_4 	 par1_13 	 par2_4 	 4
PMDCKJ7_43 	 par1_9 	 par2_7 	 7
PMDCKJ7_44 	 par1_2 	 par2_1 	 1
PMDCKJ7_58 	 par1_14 	 par2_11 	 9
PMDCKJ7_59 	 par1_11 	 par2_2 	 2
PMDCKJ7_6 	 par1_2 	 par2_1 	 1
PMDCKJ7_60 	 par1_2 	 par2_1 	 1
PMDCKJ7_61 	 par1_8 	 par2_9 	 6
PMDCKJ7_66 	 par1_2 	 par2_1 	 1
PMDCKJ7_83 	 par1_11 	 par2_2 	 2
