real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
UR	0	0	5860	30	10	100	Parents = 10 & Loci = 100	5860	0	0	1
FS	872	0	0	31	10	100	Parents = 10 & Loci = 100	872	1	0	0
HS	0	3170	0	31	10	100	Parents = 10 & Loci = 100	3170	0	1	0
UR	0	0	5858	31	10	100	Parents = 10 & Loci = 100	5858	0	0	1
FS	922	0	0	32	10	100	Parents = 10 & Loci = 100	922	1	0	0
HS	0	2516	0	32	10	100	Parents = 10 & Loci = 100	2516	0	1	0
UR	0	0	6462	32	10	100	Parents = 10 & Loci = 100	6462	0	0	1
FS	1208	0	0	33	10	100	Parents = 10 & Loci = 100	1208	1	0	0
HS	0	2302	0	33	10	100	Parents = 10 & Loci = 100	2302	0	1	0
UR	0	0	6390	33	10	100	Parents = 10 & Loci = 100	6390	0	0	1
FS	1050	0	0	34	10	100	Parents = 10 & Loci = 100	1050	1	0	0
HS	0	2468	0	34	10	100	Parents = 10 & Loci = 100	2468	0	1	0
UR	0	0	6382	34	10	100	Parents = 10 & Loci = 100	6382	0	0	1
FS	1570	0	0	35	10	100	Parents = 10 & Loci = 100	1570	1	0	0
HS	0	2150	0	35	10	100	Parents = 10 & Loci = 100	2150	0	1	0
UR	0	0	6180	35	10	100	Parents = 10 & Loci = 100	6180	0	0	1
FS	1378	0	0	36	10	100	Parents = 10 & Loci = 100	1378	1	0	0
HS	0	2512	0	36	10	100	Parents = 10 & Loci = 100	2512	0	1	0
UR	0	0	6010	36	10	100	Parents = 10 & Loci = 100	6010	0	0	1
FS	1060	0	0	37	10	100	Parents = 10 & Loci = 100	1060	1	0	0
HS	0	2268	0	37	10	100	Parents = 10 & Loci = 100	2268	0	1	0
UR	0	0	6572	37	10	100	Parents = 10 & Loci = 100	6572	0	0	1
FS	916	0	0	38	10	100	Parents = 10 & Loci = 100	916	1	0	0
HS	0	2732	0	38	10	100	Parents = 10 & Loci = 100	2732	0	1	0
UR	0	0	6252	38	10	100	Parents = 10 & Loci = 100	6252	0	0	1
FS	1226	34	0	39	10	100	Parents = 10 & Loci = 100	1260	0.973	0.027	0
HS	0	1634	540	39	10	100	Parents = 10 & Loci = 100	2174	0	0.752	0.248
UR	0	0	6466	39	10	100	Parents = 10 & Loci = 100	6466	0	0	1
FS	1162	34	0	3	10	100	Parents = 10 & Loci = 100	1196	0.972	0.028	0
HS	0	3580	90	3	10	100	Parents = 10 & Loci = 100	3670	0	0.975	0.025
UR	0	0	5034	3	10	100	Parents = 10 & Loci = 100	5034	0	0	1
FS	1126	0	0	40	10	100	Parents = 10 & Loci = 100	1126	1	0	0
HS	0	2898	0	40	10	100	Parents = 10 & Loci = 100	2898	0	1	0
UR	0	0	5876	40	10	100	Parents = 10 & Loci = 100	5876	0	0	1
FS	1518	0	0	41	10	100	Parents = 10 & Loci = 100	1518	1	0	0
HS	0	1860	0	41	10	100	Parents = 10 & Loci = 100	1860	0	1	0
UR	0	0	6522	41	10	100	Parents = 10 & Loci = 100	6522	0	0	1
FS	2166	0	0	42	10	100	Parents = 10 & Loci = 100	2166	1	0	0
HS	0	1968	0	42	10	100	Parents = 10 & Loci = 100	1968	0	1	0
UR	0	0	5766	42	10	100	Parents = 10 & Loci = 100	5766	0	0	1
FS	1970	0	0	43	10	100	Parents = 10 & Loci = 100	1970	1	0	0
HS	0	882	448	43	10	100	Parents = 10 & Loci = 100	1330	0	0.663	0.337
UR	0	0	6600	43	10	100	Parents = 10 & Loci = 100	6600	0	0	1
FS	938	22	0	44	10	100	Parents = 10 & Loci = 100	960	0.977	0.023	0
HS	0	3318	62	44	10	100	Parents = 10 & Loci = 100	3380	0	0.982	0.018
UR	0	0	5560	44	10	100	Parents = 10 & Loci = 100	5560	0	0	1
FS	1044	0	0	45	10	100	Parents = 10 & Loci = 100	1044	1	0	0
HS	0	3184	0	45	10	100	Parents = 10 & Loci = 100	3184	0	1	0
UR	0	0	5672	45	10	100	Parents = 10 & Loci = 100	5672	0	0	1
FS	868	0	0	46	10	100	Parents = 10 & Loci = 100	868	1	0	0
HS	0	2794	0	46	10	100	Parents = 10 & Loci = 100	2794	0	1	0
UR	0	0	6238	46	10	100	Parents = 10 & Loci = 100	6238	0	0	1
FS	1148	16	0	47	10	100	Parents = 10 & Loci = 100	1164	0.986	0.014	0
HS	0	3190	30	47	10	100	Parents = 10 & Loci = 100	3220	0	0.991	0.009
UR	0	0	5516	47	10	100	Parents = 10 & Loci = 100	5516	0	0	1
FS	954	0	0	48	10	100	Parents = 10 & Loci = 100	954	1	0	0
HS	0	2280	0	48	10	100	Parents = 10 & Loci = 100	2280	0	1	0
UR	0	0	6666	48	10	100	Parents = 10 & Loci = 100	6666	0	0	1
FS	1068	0	0	49	10	100	Parents = 10 & Loci = 100	1068	1	0	0
HS	0	2036	0	49	10	100	Parents = 10 & Loci = 100	2036	0	1	0
UR	0	0	6796	49	10	100	Parents = 10 & Loci = 100	6796	0	0	1
FS	1214	0	0	4	10	100	Parents = 10 & Loci = 100	1214	1	0	0
HS	0	3378	0	4	10	100	Parents = 10 & Loci = 100	3378	0	1	0
UR	0	0	5308	4	10	100	Parents = 10 & Loci = 100	5308	0	0	1
FS	1602	0	0	50	10	100	Parents = 10 & Loci = 100	1602	1	0	0
HS	0	1516	1100	50	10	100	Parents = 10 & Loci = 100	2616	0	0.58	0.42
UR	0	0	5682	50	10	100	Parents = 10 & Loci = 100	5682	0	0	1
FS	1102	0	0	51	10	100	Parents = 10 & Loci = 100	1102	1	0	0
HS	0	3244	0	51	10	100	Parents = 10 & Loci = 100	3244	0	1	0
UR	0	0	5554	51	10	100	Parents = 10 & Loci = 100	5554	0	0	1
FS	2504	2	0	52	10	100	Parents = 10 & Loci = 100	2506	0.999	0.001	0
HS	0	520	1240	52	10	100	Parents = 10 & Loci = 100	1760	0	0.295	0.705
UR	0	0	5634	52	10	100	Parents = 10 & Loci = 100	5634	0	0	1
FS	858	0	0	53	10	100	Parents = 10 & Loci = 100	858	1	0	0
HS	0	2950	0	53	10	100	Parents = 10 & Loci = 100	2950	0	1	0
UR	0	0	6092	53	10	100	Parents = 10 & Loci = 100	6092	0	0	1
FS	1562	44	0	54	10	100	Parents = 10 & Loci = 100	1606	0.973	0.027	0
HS	0	1986	0	54	10	100	Parents = 10 & Loci = 100	1986	0	1	0
UR	0	0	6308	54	10	100	Parents = 10 & Loci = 100	6308	0	0	1
FS	922	24	0	55	10	100	Parents = 10 & Loci = 100	946	0.975	0.025	0
HS	0	3038	64	55	10	100	Parents = 10 & Loci = 100	3102	0	0.979	0.021
UR	0	0	5852	55	10	100	Parents = 10 & Loci = 100	5852	0	0	1
FS	1146	0	0	56	10	100	Parents = 10 & Loci = 100	1146	1	0	0
HS	0	2980	0	56	10	100	Parents = 10 & Loci = 100	2980	0	1	0
UR	0	0	5774	56	10	100	Parents = 10 & Loci = 100	5774	0	0	1
FS	1134	0	0	57	10	100	Parents = 10 & Loci = 100	1134	1	0	0
