real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
HS	0	3098	0	20	10	200	Parents = 10 & Loci = 200	3098	0	1	0
UR	0	0	5798	20	10	200	Parents = 10 & Loci = 200	5798	0	0	1
FS	956	0	0	21	10	200	Parents = 10 & Loci = 200	956	1	0	0
HS	0	2850	0	21	10	200	Parents = 10 & Loci = 200	2850	0	1	0
UR	0	0	6094	21	10	200	Parents = 10 & Loci = 200	6094	0	0	1
FS	1382	0	0	22	10	200	Parents = 10 & Loci = 200	1382	1	0	0
HS	0	3402	0	22	10	200	Parents = 10 & Loci = 200	3402	0	1	0
UR	0	0	5116	22	10	200	Parents = 10 & Loci = 200	5116	0	0	1
FS	1106	0	0	23	10	200	Parents = 10 & Loci = 200	1106	1	0	0
HS	0	2362	0	23	10	200	Parents = 10 & Loci = 200	2362	0	1	0
UR	0	0	6432	23	10	200	Parents = 10 & Loci = 200	6432	0	0	1
FS	1460	0	0	24	10	200	Parents = 10 & Loci = 200	1460	1	0	0
HS	0	1758	0	24	10	200	Parents = 10 & Loci = 200	1758	0	1	0
UR	0	0	6682	24	10	200	Parents = 10 & Loci = 200	6682	0	0	1
FS	1078	0	0	25	10	200	Parents = 10 & Loci = 200	1078	1	0	0
HS	0	2748	0	25	10	200	Parents = 10 & Loci = 200	2748	0	1	0
UR	0	0	6074	25	10	200	Parents = 10 & Loci = 200	6074	0	0	1
FS	810	0	0	26	10	200	Parents = 10 & Loci = 200	810	1	0	0
HS	0	3546	0	26	10	200	Parents = 10 & Loci = 200	3546	0	1	0
UR	0	0	5544	26	10	200	Parents = 10 & Loci = 200	5544	0	0	1
FS	1254	0	0	27	10	200	Parents = 10 & Loci = 200	1254	1	0	0
HS	0	2692	0	27	10	200	Parents = 10 & Loci = 200	2692	0	1	0
UR	0	0	5954	27	10	200	Parents = 10 & Loci = 200	5954	0	0	1
FS	1190	0	0	28	10	200	Parents = 10 & Loci = 200	1190	1	0	0
HS	0	2200	0	28	10	200	Parents = 10 & Loci = 200	2200	0	1	0
UR	0	0	6510	28	10	200	Parents = 10 & Loci = 200	6510	0	0	1
FS	1348	0	0	29	10	200	Parents = 10 & Loci = 200	1348	1	0	0
HS	0	2988	0	29	10	200	Parents = 10 & Loci = 200	2988	0	1	0
UR	0	0	5564	29	10	200	Parents = 10 & Loci = 200	5564	0	0	1
FS	882	0	0	3	10	200	Parents = 10 & Loci = 200	882	1	0	0
HS	0	2970	0	3	10	200	Parents = 10 & Loci = 200	2970	0	1	0
UR	0	0	6048	3	10	200	Parents = 10 & Loci = 200	6048	0	0	1
FS	1294	0	0	30	10	200	Parents = 10 & Loci = 200	1294	1	0	0
HS	0	2598	0	30	10	200	Parents = 10 & Loci = 200	2598	0	1	0
UR	0	0	6008	30	10	200	Parents = 10 & Loci = 200	6008	0	0	1
FS	1208	0	0	31	10	200	Parents = 10 & Loci = 200	1208	1	0	0
HS	0	2704	0	31	10	200	Parents = 10 & Loci = 200	2704	0	1	0
UR	0	0	5988	31	10	200	Parents = 10 & Loci = 200	5988	0	0	1
FS	1382	0	0	32	10	200	Parents = 10 & Loci = 200	1382	1	0	0
HS	0	2578	0	32	10	200	Parents = 10 & Loci = 200	2578	0	1	0
UR	0	0	5940	32	10	200	Parents = 10 & Loci = 200	5940	0	0	1
FS	1756	0	0	33	10	200	Parents = 10 & Loci = 200	1756	1	0	0
HS	0	2546	0	33	10	200	Parents = 10 & Loci = 200	2546	0	1	0
UR	0	0	5598	33	10	200	Parents = 10 & Loci = 200	5598	0	0	1
FS	1362	0	0	34	10	200	Parents = 10 & Loci = 200	1362	1	0	0
HS	0	3050	0	34	10	200	Parents = 10 & Loci = 200	3050	0	1	0
UR	0	0	5488	34	10	200	Parents = 10 & Loci = 200	5488	0	0	1
FS	1746	0	0	35	10	200	Parents = 10 & Loci = 200	1746	1	0	0
HS	0	2744	0	35	10	200	Parents = 10 & Loci = 200	2744	0	1	0
UR	0	0	5410	35	10	200	Parents = 10 & Loci = 200	5410	0	0	1
FS	2252	0	0	36	10	200	Parents = 10 & Loci = 200	2252	1	0	0
HS	0	2768	0	36	10	200	Parents = 10 & Loci = 200	2768	0	1	0
UR	0	0	4880	36	10	200	Parents = 10 & Loci = 200	4880	0	0	1
FS	1564	0	0	37	10	200	Parents = 10 & Loci = 200	1564	1	0	0
HS	0	2148	0	37	10	200	Parents = 10 & Loci = 200	2148	0	1	0
UR	0	0	6188	37	10	200	Parents = 10 & Loci = 200	6188	0	0	1
FS	980	0	0	38	10	200	Parents = 10 & Loci = 200	980	1	0	0
HS	0	2726	0	38	10	200	Parents = 10 & Loci = 200	2726	0	1	0
UR	0	0	6194	38	10	200	Parents = 10 & Loci = 200	6194	0	0	1
FS	998	0	0	39	10	200	Parents = 10 & Loci = 200	998	1	0	0
HS	0	2602	0	39	10	200	Parents = 10 & Loci = 200	2602	0	1	0
UR	0	0	6300	39	10	200	Parents = 10 & Loci = 200	6300	0	0	1
FS	1278	0	0	4	10	200	Parents = 10 & Loci = 200	1278	1	0	0
HS	0	1904	0	4	10	200	Parents = 10 & Loci = 200	1904	0	1	0
UR	0	0	6718	4	10	200	Parents = 10 & Loci = 200	6718	0	0	1
FS	1252	0	0	40	10	200	Parents = 10 & Loci = 200	1252	1	0	0
HS	0	2264	0	40	10	200	Parents = 10 & Loci = 200	2264	0	1	0
UR	0	0	6384	40	10	200	Parents = 10 & Loci = 200	6384	0	0	1
FS	1180	0	0	41	10	200	Parents = 10 & Loci = 200	1180	1	0	0
HS	0	2440	0	41	10	200	Parents = 10 & Loci = 200	2440	0	1	0
UR	0	0	6280	41	10	200	Parents = 10 & Loci = 200	6280	0	0	1
FS	1490	0	0	42	10	200	Parents = 10 & Loci = 200	1490	1	0	0
HS	0	2286	0	42	10	200	Parents = 10 & Loci = 200	2286	0	1	0
UR	0	0	6124	42	10	200	Parents = 10 & Loci = 200	6124	0	0	1
FS	1626	0	0	43	10	200	Parents = 10 & Loci = 200	1626	1	0	0
HS	0	1748	0	43	10	200	Parents = 10 & Loci = 200	1748	0	1	0
UR	0	0	6526	43	10	200	Parents = 10 & Loci = 200	6526	0	0	1
FS	1492	0	0	44	10	200	Parents = 10 & Loci = 200	1492	1	0	0
HS	0	3172	0	44	10	200	Parents = 10 & Loci = 200	3172	0	1	0
UR	0	0	5236	44	10	200	Parents = 10 & Loci = 200	5236	0	0	1
FS	1126	0	0	45	10	200	Parents = 10 & Loci = 200	1126	1	0	0
HS	0	2980	0	45	10	200	Parents = 10 & Loci = 200	2980	0	1	0
UR	0	0	5794	45	10	200	Parents = 10 & Loci = 200	5794	0	0	1
FS	1198	0	0	46	10	200	Parents = 10 & Loci = 200	1198	1	0	0
HS	0	2914	0	46	10	200	Parents = 10 & Loci = 200	2914	0	1	0
UR	0	0	5788	46	10	200	Parents = 10 & Loci = 200	5788	0	0	1
FS	1178	0	0	47	10	200	Parents = 10 & Loci = 200	1178	1	0	0
HS	0	2340	0	47	10	200	Parents = 10 & Loci = 200	2340	0	1	0
UR	0	0	6382	47	10	200	Parents = 10 & Loci = 200	6382	0	0	1
FS	784	0	0	48	10	200	Parents = 10 & Loci = 200	784	1	0	0
HS	0	2902	0	48	10	200	Parents = 10 & Loci = 200	2902	0	1	0
UR	0	0	6214	48	10	200	Parents = 10 & Loci = 200	6214	0	0	1
FS	1708	0	0	49	10	200	Parents = 10 & Loci = 200	1708	1	0	0
HS	0	1654	0	49	10	200	Parents = 10 & Loci = 200	1654	0	1	0
UR	0	0	6538	49	10	200	Parents = 10 & Loci = 200	6538	0	0	1
FS	1910	0	0	5	10	200	Parents = 10 & Loci = 200	1910	1	0	0
HS	0	1636	0	5	10	200	Parents = 10 & Loci = 200	1636	0	1	0
UR	0	0	6354	5	10	200	Parents = 10 & Loci = 200	6354	0	0	1
FS	1008	0	0	50	10	200	Parents = 10 & Loci = 200	1008	1	0	0
HS	0	2846	0	50	10	200	Parents = 10 & Loci = 200	2846	0	1	0
UR	0	0	6046	50	10	200	Parents = 10 & Loci = 200	6046	0	0	1
FS	1024	0	0	51	10	200	Parents = 10 & Loci = 200	1024	1	0	0
HS	0	2426	0	51	10	200	Parents = 10 & Loci = 200	2426	0	1	0
UR	0	0	6450	51	10	200	Parents = 10 & Loci = 200	6450	0	0	1
FS	854	0	0	52	10	200	Parents = 10 & Loci = 200	854	1	0	0
HS	0	3038	0	52	10	200	Parents = 10 & Loci = 200	3038	0	1	0
UR	0	0	6008	52	10	200	Parents = 10 & Loci = 200	6008	0	0	1
FS	1302	0	0	53	10	200	Parents = 10 & Loci = 200	1302	1	0	0
HS	0	3680	0	53	10	200	Parents = 10 & Loci = 200	3680	0	1	0
UR	0	0	4918	53	10	200	Parents = 10 & Loci = 200	4918	0	0	1
FS	1704	0	0	54	10	200	Parents = 10 & Loci = 200	1704	1	0	0
HS	0	1716	0	54	10	200	Parents = 10 & Loci = 200	1716	0	1	0
UR	0	0	6480	54	10	200	Parents = 10 & Loci = 200	6480	0	0	1
FS	962	0	0	55	10	200	Parents = 10 & Loci = 200	962	1	0	0
HS	0	2684	0	55	10	200	Parents = 10 & Loci = 200	2684	0	1	0
UR	0	0	6254	55	10	200	Parents = 10 & Loci = 200	6254	0	0	1
FS	1430	0	0	56	10	200	Parents = 10 & Loci = 200	1430	1	0	0
HS	0	2014	0	56	10	200	Parents = 10 & Loci = 200	2014	0	1	0
UR	0	0	6456	56	10	200	Parents = 10 & Loci = 200	6456	0	0	1
FS	1348	0	0	57	10	200	Parents = 10 & Loci = 200	1348	1	0	0
HS	0	3806	0	57	10	200	Parents = 10 & Loci = 200	3806	0	1	0
UR	0	0	4746	57	10	200	Parents = 10 & Loci = 200	4746	0	0	1
FS	1298	0	0	58	10	200	Parents = 10 & Loci = 200	1298	1	0	0
HS	0	3236	0	58	10	200	Parents = 10 & Loci = 200	3236	0	1	0
UR	0	0	5366	58	10	200	Parents = 10 & Loci = 200	5366	0	0	1
FS	954	0	0	59	10	200	Parents = 10 & Loci = 200	954	1	0	0
HS	0	3946	0	59	10	200	Parents = 10 & Loci = 200	3946	0	1	0
UR	0	0	5000	59	10	200	Parents = 10 & Loci = 200	5000	0	0	1
FS	1216	0	0	6	10	200	Parents = 10 & Loci = 200	1216	1	0	0
HS	0	1958	0	6	10	200	Parents = 10 & Loci = 200	1958	0	1	0
UR	0	0	6726	6	10	200	Parents = 10 & Loci = 200	6726	0	0	1
FS	1358	0	0	60	10	200	Parents = 10 & Loci = 200	1358	1	0	0
HS	0	2214	0	60	10	200	Parents = 10 & Loci = 200	2214	0	1	0
UR	0	0	6328	60	10	200	Parents = 10 & Loci = 200	6328	0	0	1
FS	1234	0	0	61	10	200	Parents = 10 & Loci = 200	1234	1	0	0
HS	0	2316	0	61	10	200	Parents = 10 & Loci = 200	2316	0	1	0
UR	0	0	6350	61	10	200	Parents = 10 & Loci = 200	6350	0	0	1
FS	1222	0	0	62	10	200	Parents = 10 & Loci = 200	1222	1	0	0
HS	0	1596	0	62	10	200	Parents = 10 & Loci = 200	1596	0	1	0
UR	0	0	7082	62	10	200	Parents = 10 & Loci = 200	7082	0	0	1
FS	1428	0	0	63	10	200	Parents = 10 & Loci = 200	1428	1	0	0
HS	0	2596	0	63	10	200	Parents = 10 & Loci = 200	2596	0	1	0
UR	0	0	5876	63	10	200	Parents = 10 & Loci = 200	5876	0	0	1
FS	2528	0	0	64	10	200	Parents = 10 & Loci = 200	2528	1	0	0
HS	0	3788	0	64	10	200	Parents = 10 & Loci = 200	3788	0	1	0
UR	0	0	3584	64	10	200	Parents = 10 & Loci = 200	3584	0	0	1
FS	2342	0	0	65	10	200	Parents = 10 & Loci = 200	2342	1	0	0
HS	0	734	0	65	10	200	Parents = 10 & Loci = 200	734	0	1	0
UR	0	0	6824	65	10	200	Parents = 10 & Loci = 200	6824	0	0	1
FS	1794	0	0	66	10	200	Parents = 10 & Loci = 200	1794	1	0	0
HS	0	168	1050	66	10	200	Parents = 10 & Loci = 200	1218	0	0.138	0.862
UR	0	0	6888	66	10	200	Parents = 10 & Loci = 200	6888	0	0	1
FS	826	0	0	67	10	200	Parents = 10 & Loci = 200	826	1	0	0
HS	0	3074	0	67	10	200	Parents = 10 & Loci = 200	3074	0	1	0
UR	0	0	6000	67	10	200	Parents = 10 & Loci = 200	6000	0	0	1
FS	1664	0	0	68	10	200	Parents = 10 & Loci = 200	1664	1	0	0
HS	0	3094	0	68	10	200	Parents = 10 & Loci = 200	3094	0	1	0
UR	0	0	5142	68	10	200	Parents = 10 & Loci = 200	5142	0	0	1
FS	1186	0	0	69	10	200	Parents = 10 & Loci = 200	1186	1	0	0
HS	0	1786	0	69	10	200	Parents = 10 & Loci = 200	1786	0	1	0
UR	0	0	6928	69	10	200	Parents = 10 & Loci = 200	6928	0	0	1
FS	1496	0	0	7	10	200	Parents = 10 & Loci = 200	1496	1	0	0
HS	0	2118	0	7	10	200	Parents = 10 & Loci = 200	2118	0	1	0
UR	0	0	6286	7	10	200	Parents = 10 & Loci = 200	6286	0	0	1
FS	1516	0	0	70	10	200	Parents = 10 & Loci = 200	1516	1	0	0
HS	0	1902	0	70	10	200	Parents = 10 & Loci = 200	1902	0	1	0
UR	0	0	6482	70	10	200	Parents = 10 & Loci = 200	6482	0	0	1
FS	1518	0	0	71	10	200	Parents = 10 & Loci = 200	1518	1	0	0
HS	0	1588	0	71	10	200	Parents = 10 & Loci = 200	1588	0	1	0
UR	0	0	6794	71	10	200	Parents = 10 & Loci = 200	6794	0	0	1
FS	1682	0	0	72	10	200	Parents = 10 & Loci = 200	1682	1	0	0
HS	0	2284	0	72	10	200	Parents = 10 & Loci = 200	2284	0	1	0
UR	0	0	5934	72	10	200	Parents = 10 & Loci = 200	5934	0	0	1
FS	1066	0	0	73	10	200	Parents = 10 & Loci = 200	1066	1	0	0
HS	0	3110	0	73	10	200	Parents = 10 & Loci = 200	3110	0	1	0
UR	0	0	5724	73	10	200	Parents = 10 & Loci = 200	5724	0	0	1
FS	1578	0	0	74	10	200	Parents = 10 & Loci = 200	1578	1	0	0
HS	0	2146	0	74	10	200	Parents = 10 & Loci = 200	2146	0	1	0
UR	0	0	6176	74	10	200	Parents = 10 & Loci = 200	6176	0	0	1
FS	966	0	0	75	10	200	Parents = 10 & Loci = 200	966	1	0	0
HS	0	3466	0	75	10	200	Parents = 10 & Loci = 200	3466	0	1	0
UR	0	0	5468	75	10	200	Parents = 10 & Loci = 200	5468	0	0	1
FS	1142	0	0	76	10	200	Parents = 10 & Loci = 200	1142	1	0	0
HS	0	2118	0	76	10	200	Parents = 10 & Loci = 200	2118	0	1	0
UR	0	0	6640	76	10	200	Parents = 10 & Loci = 200	6640	0	0	1
FS	952	0	0	77	10	200	Parents = 10 & Loci = 200	952	1	0	0
HS	0	2672	0	77	10	200	Parents = 10 & Loci = 200	2672	0	1	0
UR	0	0	6276	77	10	200	Parents = 10 & Loci = 200	6276	0	0	1
FS	820	0	0	78	10	200	Parents = 10 & Loci = 200	820	1	0	0
HS	0	2820	0	78	10	200	Parents = 10 & Loci = 200	2820	0	1	0
UR	0	0	6260	78	10	200	Parents = 10 & Loci = 200	6260	0	0	1
FS	1248	0	0	79	10	200	Parents = 10 & Loci = 200	1248	1	0	0
HS	0	2796	0	79	10	200	Parents = 10 & Loci = 200	2796	0	1	0
UR	0	0	5856	79	10	200	Parents = 10 & Loci = 200	5856	0	0	1
FS	940	0	0	8	10	200	Parents = 10 & Loci = 200	940	1	0	0
HS	0	2974	0	8	10	200	Parents = 10 & Loci = 200	2974	0	1	0
UR	0	0	5986	8	10	200	Parents = 10 & Loci = 200	5986	0	0	1
FS	1404	0	0	80	10	200	Parents = 10 & Loci = 200	1404	1	0	0
HS	0	3020	0	80	10	200	Parents = 10 & Loci = 200	3020	0	1	0
UR	0	0	5476	80	10	200	Parents = 10 & Loci = 200	5476	0	0	1
FS	1134	0	0	81	10	200	Parents = 10 & Loci = 200	1134	1	0	0
HS	0	2672	0	81	10	200	Parents = 10 & Loci = 200	2672	0	1	0
UR	0	0	6094	81	10	200	Parents = 10 & Loci = 200	6094	0	0	1
FS	1362	0	0	82	10	200	Parents = 10 & Loci = 200	1362	1	0	0
HS	0	1956	0	82	10	200	Parents = 10 & Loci = 200	1956	0	1	0
UR	0	0	6582	82	10	200	Parents = 10 & Loci = 200	6582	0	0	1
FS	1754	0	0	83	10	200	Parents = 10 & Loci = 200	1754	1	0	0
HS	0	1812	0	83	10	200	Parents = 10 & Loci = 200	1812	0	1	0
UR	0	0	6334	83	10	200	Parents = 10 & Loci = 200	6334	0	0	1
FS	1012	0	0	84	10	200	Parents = 10 & Loci = 200	1012	1	0	0
HS	0	3268	0	84	10	200	Parents = 10 & Loci = 200	3268	0	1	0
UR	0	0	5620	84	10	200	Parents = 10 & Loci = 200	5620	0	0	1
FS	1446	0	0	85	10	200	Parents = 10 & Loci = 200	1446	1	0	0
HS	0	1784	74	85	10	200	Parents = 10 & Loci = 200	1858	0	0.96	0.04
UR	0	0	6596	85	10	200	Parents = 10 & Loci = 200	6596	0	0	1
FS	1318	0	0	86	10	200	Parents = 10 & Loci = 200	1318	1	0	0
HS	0	2762	0	86	10	200	Parents = 10 & Loci = 200	2762	0	1	0
UR	0	0	5820	86	10	200	Parents = 10 & Loci = 200	5820	0	0	1
FS	1822	0	0	87	10	200	Parents = 10 & Loci = 200	1822	1	0	0
HS	0	1304	0	87	10	200	Parents = 10 & Loci = 200	1304	0	1	0
UR	0	0	6774	87	10	200	Parents = 10 & Loci = 200	6774	0	0	1
FS	934	0	0	88	10	200	Parents = 10 & Loci = 200	934	1	0	0
HS	0	3072	0	88	10	200	Parents = 10 & Loci = 200	3072	0	1	0
UR	0	0	5894	88	10	200	Parents = 10 & Loci = 200	5894	0	0	1
FS	904	0	0	89	10	200	Parents = 10 & Loci = 200	904	1	0	0
HS	0	3030	0	89	10	200	Parents = 10 & Loci = 200	3030	0	1	0
UR	0	0	5966	89	10	200	Parents = 10 & Loci = 200	5966	0	0	1
FS	1286	0	0	9	10	200	Parents = 10 & Loci = 200	1286	1	0	0
HS	0	2370	0	9	10	200	Parents = 10 & Loci = 200	2370	0	1	0
UR	0	0	6244	9	10	200	Parents = 10 & Loci = 200	6244	0	0	1
FS	1174	0	0	90	10	200	Parents = 10 & Loci = 200	1174	1	0	0
HS	0	2800	0	90	10	200	Parents = 10 & Loci = 200	2800	0	1	0
UR	0	0	5926	90	10	200	Parents = 10 & Loci = 200	5926	0	0	1
FS	924	0	0	91	10	200	Parents = 10 & Loci = 200	924	1	0	0
HS	0	3748	0	91	10	200	Parents = 10 & Loci = 200	3748	0	1	0
UR	0	0	5228	91	10	200	Parents = 10 & Loci = 200	5228	0	0	1
FS	828	0	0	92	10	200	Parents = 10 & Loci = 200	828	1	0	0
HS	0	3484	0	92	10	200	Parents = 10 & Loci = 200	3484	0	1	0
UR	0	0	5588	92	10	200	Parents = 10 & Loci = 200	5588	0	0	1
FS	1440	0	0	93	10	200	Parents = 10 & Loci = 200	1440	1	0	0
HS	0	2380	0	93	10	200	Parents = 10 & Loci = 200	2380	0	1	0
UR	0	0	6080	93	10	200	Parents = 10 & Loci = 200	6080	0	0	1
FS	1106	0	0	94	10	200	Parents = 10 & Loci = 200	1106	1	0	0
HS	0	2714	0	94	10	200	Parents = 10 & Loci = 200	2714	0	1	0
UR	0	0	6080	94	10	200	Parents = 10 & Loci = 200	6080	0	0	1
FS	986	0	0	95	10	200	Parents = 10 & Loci = 200	986	1	0	0
HS	0	2752	0	95	10	200	Parents = 10 & Loci = 200	2752	0	1	0
UR	0	0	6162	95	10	200	Parents = 10 & Loci = 200	6162	0	0	1
FS	920	0	0	96	10	200	Parents = 10 & Loci = 200	920	1	0	0
HS	0	2918	0	96	10	200	Parents = 10 & Loci = 200	2918	0	1	0
UR	0	0	6062	96	10	200	Parents = 10 & Loci = 200	6062	0	0	1
FS	902	0	0	97	10	200	Parents = 10 & Loci = 200	902	1	0	0
HS	0	3276	0	97	10	200	Parents = 10 & Loci = 200	3276	0	1	0
UR	0	0	5722	97	10	200	Parents = 10 & Loci = 200	5722	0	0	1
FS	982	0	0	98	10	200	Parents = 10 & Loci = 200	982	1	0	0
HS	0	2604	0	98	10	200	Parents = 10 & Loci = 200	2604	0	1	0
UR	0	0	6314	98	10	200	Parents = 10 & Loci = 200	6314	0	0	1
FS	1212	0	0	99	10	200	Parents = 10 & Loci = 200	1212	1	0	0
HS	0	2140	0	99	10	200	Parents = 10 & Loci = 200	2140	0	1	0
UR	0	0	6548	99	10	200	Parents = 10 & Loci = 200	6548	0	0	1
FS	1562	0	0	1	10	500	Parents = 10 & Loci = 500	1562	1	0	0
HS	0	2202	0	1	10	500	Parents = 10 & Loci = 500	2202	0	1	0
UR	0	0	6136	1	10	500	Parents = 10 & Loci = 500	6136	0	0	1
FS	1866	0	0	100	10	500	Parents = 10 & Loci = 500	1866	1	0	0
HS	0	3020	0	100	10	500	Parents = 10 & Loci = 500	3020	0	1	0
UR	0	0	5014	100	10	500	Parents = 10 & Loci = 500	5014	0	0	1
FS	1372	0	0	11	10	500	Parents = 10 & Loci = 500	1372	1	0	0
HS	0	2380	0	11	10	500	Parents = 10 & Loci = 500	2380	0	1	0
UR	0	0	6148	11	10	500	Parents = 10 & Loci = 500	6148	0	0	1
FS	2636	0	0	13	10	500	Parents = 10 & Loci = 500	2636	1	0	0
HS	0	940	0	13	10	500	Parents = 10 & Loci = 500	940	0	1	0
UR	0	0	6324	13	10	500	Parents = 10 & Loci = 500	6324	0	0	1
FS	1596	0	0	15	10	500	Parents = 10 & Loci = 500	1596	1	0	0
HS	0	1478	0	15	10	500	Parents = 10 & Loci = 500	1478	0	1	0
UR	0	0	6826	15	10	500	Parents = 10 & Loci = 500	6826	0	0	1
FS	1596	0	0	16	10	500	Parents = 10 & Loci = 500	1596	1	0	0
HS	0	1806	0	16	10	500	Parents = 10 & Loci = 500	1806	0	1	0
UR	0	0	6498	16	10	500	Parents = 10 & Loci = 500	6498	0	0	1
FS	1284	0	0	17	10	500	Parents = 10 & Loci = 500	1284	1	0	0
HS	0	2512	0	17	10	500	Parents = 10 & Loci = 500	2512	0	1	0
UR	0	0	6104	17	10	500	Parents = 10 & Loci = 500	6104	0	0	1
FS	2036	0	0	18	10	500	Parents = 10 & Loci = 500	2036	1	0	0
HS	0	1418	0	18	10	500	Parents = 10 & Loci = 500	1418	0	1	0
UR	0	0	6446	18	10	500	Parents = 10 & Loci = 500	6446	0	0	1
FS	2126	0	0	19	10	500	Parents = 10 & Loci = 500	2126	1	0	0
HS	0	2248	0	19	10	500	Parents = 10 & Loci = 500	2248	0	1	0
UR	0	0	5526	19	10	500	Parents = 10 & Loci = 500	5526	0	0	1
FS	2516	0	0	2	10	500	Parents = 10 & Loci = 500	2516	1	0	0
HS	0	746	0	2	10	500	Parents = 10 & Loci = 500	746	0	1	0
UR	0	0	6638	2	10	500	Parents = 10 & Loci = 500	6638	0	0	1
FS	1276	0	0	25	10	500	Parents = 10 & Loci = 500	1276	1	0	0
HS	0	2328	0	25	10	500	Parents = 10 & Loci = 500	2328	0	1	0
UR	0	0	6296	25	10	500	Parents = 10 & Loci = 500	6296	0	0	1
FS	1800	0	0	26	10	500	Parents = 10 & Loci = 500	1800	1	0	0
HS	0	1484	0	26	10	500	Parents = 10 & Loci = 500	1484	0	1	0
UR	0	0	6616	26	10	500	Parents = 10 & Loci = 500	6616	0	0	1
FS	2236	0	0	27	10	500	Parents = 10 & Loci = 500	2236	1	0	0
HS	0	1402	0	27	10	500	Parents = 10 & Loci = 500	1402	0	1	0
UR	0	0	6262	27	10	500	Parents = 10 & Loci = 500	6262	0	0	1
FS	1532	0	0	28	10	500	Parents = 10 & Loci = 500	1532	1	0	0
HS	0	1700	0	28	10	500	Parents = 10 & Loci = 500	1700	0	1	0
UR	0	0	6668	28	10	500	Parents = 10 & Loci = 500	6668	0	0	1
FS	1258	0	0	29	10	500	Parents = 10 & Loci = 500	1258	1	0	0
HS	0	2656	0	29	10	500	Parents = 10 & Loci = 500	2656	0	1	0
UR	0	0	5986	29	10	500	Parents = 10 & Loci = 500	5986	0	0	1
FS	1718	0	0	3	10	500	Parents = 10 & Loci = 500	1718	1	0	0
HS	0	2470	0	3	10	500	Parents = 10 & Loci = 500	2470	0	1	0
UR	0	0	5712	3	10	500	Parents = 10 & Loci = 500	5712	0	0	1
FS	1400	0	0	31	10	500	Parents = 10 & Loci = 500	1400	1	0	0
HS	0	1892	0	31	10	500	Parents = 10 & Loci = 500	1892	0	1	0
UR	0	0	6608	31	10	500	Parents = 10 & Loci = 500	6608	0	0	1
FS	1990	0	0	34	10	500	Parents = 10 & Loci = 500	1990	1	0	0
HS	0	1084	0	34	10	500	Parents = 10 & Loci = 500	1084	0	1	0
UR	0	0	6826	34	10	500	Parents = 10 & Loci = 500	6826	0	0	1
FS	1212	0	0	35	10	500	Parents = 10 & Loci = 500	1212	1	0	0
HS	0	2170	0	35	10	500	Parents = 10 & Loci = 500	2170	0	1	0
UR	0	0	6518	35	10	500	Parents = 10 & Loci = 500	6518	0	0	1
FS	1678	0	0	36	10	500	Parents = 10 & Loci = 500	1678	1	0	0
HS	0	2562	0	36	10	500	Parents = 10 & Loci = 500	2562	0	1	0
UR	0	0	5660	36	10	500	Parents = 10 & Loci = 500	5660	0	0	1
FS	1836	0	0	39	10	500	Parents = 10 & Loci = 500	1836	1	0	0
HS	0	1848	0	39	10	500	Parents = 10 & Loci = 500	1848	0	1	0
UR	0	0	6216	39	10	500	Parents = 10 & Loci = 500	6216	0	0	1
FS	2496	0	0	4	10	500	Parents = 10 & Loci = 500	2496	1	0	0
HS	0	4086	0	4	10	500	Parents = 10 & Loci = 500	4086	0	1	0
UR	0	0	3318	4	10	500	Parents = 10 & Loci = 500	3318	0	0	1
FS	1638	0	0	40	10	500	Parents = 10 & Loci = 500	1638	1	0	0
HS	0	1046	0	40	10	500	Parents = 10 & Loci = 500	1046	0	1	0
UR	0	0	7216	40	10	500	Parents = 10 & Loci = 500	7216	0	0	1
FS	2106	0	0	41	10	500	Parents = 10 & Loci = 500	2106	1	0	0
HS	0	1338	0	41	10	500	Parents = 10 & Loci = 500	1338	0	1	0
UR	0	0	6456	41	10	500	Parents = 10 & Loci = 500	6456	0	0	1
FS	1308	0	0	43	10	500	Parents = 10 & Loci = 500	1308	1	0	0
HS	0	2172	0	43	10	500	Parents = 10 & Loci = 500	2172	0	1	0
UR	0	0	6420	43	10	500	Parents = 10 & Loci = 500	6420	0	0	1
FS	1520	0	0	47	10	500	Parents = 10 & Loci = 500	1520	1	0	0
HS	0	2578	0	47	10	500	Parents = 10 & Loci = 500	2578	0	1	0
UR	0	0	5802	47	10	500	Parents = 10 & Loci = 500	5802	0	0	1
FS	1664	0	0	49	10	500	Parents = 10 & Loci = 500	1664	1	0	0
HS	0	1900	0	49	10	500	Parents = 10 & Loci = 500	1900	0	1	0
UR	0	0	6336	49	10	500	Parents = 10 & Loci = 500	6336	0	0	1
FS	1692	0	0	5	10	500	Parents = 10 & Loci = 500	1692	1	0	0
HS	0	1856	0	5	10	500	Parents = 10 & Loci = 500	1856	0	1	0
UR	0	0	6352	5	10	500	Parents = 10 & Loci = 500	6352	0	0	1
FS	1294	0	0	51	10	500	Parents = 10 & Loci = 500	1294	1	0	0
HS	0	2574	0	51	10	500	Parents = 10 & Loci = 500	2574	0	1	0
UR	0	0	6032	51	10	500	Parents = 10 & Loci = 500	6032	0	0	1
FS	2136	0	0	55	10	500	Parents = 10 & Loci = 500	2136	1	0	0
HS	0	2676	0	55	10	500	Parents = 10 & Loci = 500	2676	0	1	0
UR	0	0	5088	55	10	500	Parents = 10 & Loci = 500	5088	0	0	1
