real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	98	0	0	98	1	0	0	conf.mat.44.txt
HS	0	428	0	428	0	1	0	conf.mat.44.txt
UR	0	0	9374	9374	0	0	1	conf.mat.44.txt
FS	88	0	0	88	1	0	0	conf.mat.59.txt
HS	0	442	0	442	0	1	0	conf.mat.59.txt
UR	0	0	9370	9370	0	0	1	conf.mat.59.txt
FS	116	0	0	116	1	0	0	conf.mat.60.txt
HS	0	426	0	426	0	1	0	conf.mat.60.txt
UR	0	0	9358	9358	0	0	1	conf.mat.60.txt
FS	116	0	0	116	1	0	0	conf.mat.colony2_sim_100.Dat
HS	0	200	0	200	0	1	0	conf.mat.colony2_sim_100.Dat
UR	0	0	9584	9584	0	0	1	conf.mat.colony2_sim_100.Dat
FS	164	0	0	164	1	0	0	conf.mat.colony2_sim_10.Dat
HS	0	274	0	274	0	1	0	conf.mat.colony2_sim_10.Dat
UR	0	2	9460	9462	0	0	1	conf.mat.colony2_sim_10.Dat
FS	134	0	0	134	1	0	0	conf.mat.colony2_sim_11.Dat
HS	0	378	0	378	0	1	0	conf.mat.colony2_sim_11.Dat
UR	0	0	9388	9388	0	0	1	conf.mat.colony2_sim_11.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_12.Dat
HS	0	394	0	394	0	1	0	conf.mat.colony2_sim_12.Dat
UR	0	0	9384	9384	0	0	1	conf.mat.colony2_sim_12.Dat
FS	104	0	0	104	1	0	0	conf.mat.colony2_sim_13.Dat
HS	0	360	0	360	0	1	0	conf.mat.colony2_sim_13.Dat
UR	0	0	9436	9436	0	0	1	conf.mat.colony2_sim_13.Dat
FS	88	0	0	88	1	0	0	conf.mat.colony2_sim_14.Dat
HS	0	342	0	342	0	1	0	conf.mat.colony2_sim_14.Dat
UR	0	0	9470	9470	0	0	1	conf.mat.colony2_sim_14.Dat
FS	76	0	0	76	1	0	0	conf.mat.colony2_sim_15.Dat
HS	0	336	0	336	0	1	0	conf.mat.colony2_sim_15.Dat
UR	0	0	9488	9488	0	0	1	conf.mat.colony2_sim_15.Dat
FS	116	0	0	116	1	0	0	conf.mat.colony2_sim_16.Dat
HS	0	318	0	318	0	1	0	conf.mat.colony2_sim_16.Dat
UR	0	0	9466	9466	0	0	1	conf.mat.colony2_sim_16.Dat
FS	146	0	0	146	1	0	0	conf.mat.colony2_sim_17.Dat
HS	0	264	0	264	0	1	0	conf.mat.colony2_sim_17.Dat
UR	0	0	9490	9490	0	0	1	conf.mat.colony2_sim_17.Dat
FS	154	0	0	154	1	0	0	conf.mat.colony2_sim_18.Dat
HS	0	316	0	316	0	1	0	conf.mat.colony2_sim_18.Dat
UR	0	0	9430	9430	0	0	1	conf.mat.colony2_sim_18.Dat
FS	112	0	0	112	1	0	0	conf.mat.colony2_sim_19.Dat
HS	0	256	0	256	0	1	0	conf.mat.colony2_sim_19.Dat
UR	0	0	9532	9532	0	0	1	conf.mat.colony2_sim_19.Dat
FS	130	0	0	130	1	0	0	conf.mat.colony2_sim_1.Dat
HS	0	220	0	220	0	1	0	conf.mat.colony2_sim_1.Dat
UR	0	0	9550	9550	0	0	1	conf.mat.colony2_sim_1.Dat
FS	130	0	0	130	1	0	0	conf.mat.colony2_sim_20.Dat
HS	0	238	0	238	0	1	0	conf.mat.colony2_sim_20.Dat
UR	0	0	9532	9532	0	0	1	conf.mat.colony2_sim_20.Dat
FS	172	0	0	172	1	0	0	conf.mat.colony2_sim_21.Dat
HS	0	236	0	236	0	1	0	conf.mat.colony2_sim_21.Dat
UR	0	0	9492	9492	0	0	1	conf.mat.colony2_sim_21.Dat
FS	146	0	0	146	1	0	0	conf.mat.colony2_sim_22.Dat
HS	0	288	0	288	0	1	0	conf.mat.colony2_sim_22.Dat
UR	0	0	9466	9466	0	0	1	conf.mat.colony2_sim_22.Dat
FS	134	0	0	134	1	0	0	conf.mat.colony2_sim_23.Dat
HS	0	258	0	258	0	1	0	conf.mat.colony2_sim_23.Dat
UR	0	0	9508	9508	0	0	1	conf.mat.colony2_sim_23.Dat
FS	124	0	0	124	1	0	0	conf.mat.colony2_sim_24.Dat
HS	0	272	0	272	0	1	0	conf.mat.colony2_sim_24.Dat
UR	0	4	9500	9504	0	0	1	conf.mat.colony2_sim_24.Dat
FS	160	0	0	160	1	0	0	conf.mat.colony2_sim_25.Dat
HS	0	288	0	288	0	1	0	conf.mat.colony2_sim_25.Dat
UR	0	0	9452	9452	0	0	1	conf.mat.colony2_sim_25.Dat
FS	126	0	0	126	1	0	0	conf.mat.colony2_sim_26.Dat
HS	0	388	0	388	0	1	0	conf.mat.colony2_sim_26.Dat
UR	0	4	9382	9386	0	0	1	conf.mat.colony2_sim_26.Dat
FS	202	0	0	202	1	0	0	conf.mat.colony2_sim_27.Dat
HS	0	350	0	350	0	1	0	conf.mat.colony2_sim_27.Dat
UR	0	2	9346	9348	0	0	1	conf.mat.colony2_sim_27.Dat
FS	140	0	0	140	1	0	0	conf.mat.colony2_sim_28.Dat
HS	0	234	0	234	0	1	0	conf.mat.colony2_sim_28.Dat
UR	0	0	9526	9526	0	0	1	conf.mat.colony2_sim_28.Dat
FS	112	0	0	112	1	0	0	conf.mat.colony2_sim_29.Dat
HS	0	322	0	322	0	1	0	conf.mat.colony2_sim_29.Dat
UR	0	0	9466	9466	0	0	1	conf.mat.colony2_sim_29.Dat
FS	172	0	0	172	1	0	0	conf.mat.colony2_sim_2.Dat
HS	0	264	0	264	0	1	0	conf.mat.colony2_sim_2.Dat
UR	0	0	9464	9464	0	0	1	conf.mat.colony2_sim_2.Dat
FS	114	0	0	114	1	0	0	conf.mat.colony2_sim_30.Dat
HS	0	292	0	292	0	1	0	conf.mat.colony2_sim_30.Dat
UR	0	0	9494	9494	0	0	1	conf.mat.colony2_sim_30.Dat
FS	142	0	0	142	1	0	0	conf.mat.colony2_sim_31.Dat
HS	0	252	0	252	0	1	0	conf.mat.colony2_sim_31.Dat
UR	0	0	9506	9506	0	0	1	conf.mat.colony2_sim_31.Dat
FS	168	0	0	168	1	0	0	conf.mat.colony2_sim_32.Dat
HS	0	224	0	224	0	1	0	conf.mat.colony2_sim_32.Dat
UR	0	2	9506	9508	0	0	1	conf.mat.colony2_sim_32.Dat
FS	116	0	0	116	1	0	0	conf.mat.colony2_sim_33.Dat
HS	0	322	0	322	0	1	0	conf.mat.colony2_sim_33.Dat
UR	0	0	9462	9462	0	0	1	conf.mat.colony2_sim_33.Dat
FS	92	0	0	92	1	0	0	conf.mat.colony2_sim_34.Dat
HS	0	362	0	362	0	1	0	conf.mat.colony2_sim_34.Dat
UR	0	0	9446	9446	0	0	1	conf.mat.colony2_sim_34.Dat
FS	92	0	0	92	1	0	0	conf.mat.colony2_sim_35.Dat
HS	0	342	0	342	0	1	0	conf.mat.colony2_sim_35.Dat
UR	0	0	9466	9466	0	0	1	conf.mat.colony2_sim_35.Dat
FS	96	0	0	96	1	0	0	conf.mat.colony2_sim_36.Dat
HS	0	324	0	324	0	1	0	conf.mat.colony2_sim_36.Dat
UR	0	0	9480	9480	0	0	1	conf.mat.colony2_sim_36.Dat
FS	184	0	0	184	1	0	0	conf.mat.colony2_sim_37.Dat
HS	0	256	0	256	0	1	0	conf.mat.colony2_sim_37.Dat
UR	0	0	9460	9460	0	0	1	conf.mat.colony2_sim_37.Dat
FS	200	0	0	200	1	0	0	conf.mat.colony2_sim_38.Dat
HS	0	184	0	184	0	1	0	conf.mat.colony2_sim_38.Dat
UR	0	4	9512	9516	0	0	1	conf.mat.colony2_sim_38.Dat
FS	220	0	0	220	1	0	0	conf.mat.colony2_sim_39.Dat
HS	0	266	0	266	0	1	0	conf.mat.colony2_sim_39.Dat
UR	0	0	9414	9414	0	0	1	conf.mat.colony2_sim_39.Dat
FS	88	0	0	88	1	0	0	conf.mat.colony2_sim_3.Dat
HS	0	300	0	300	0	1	0	conf.mat.colony2_sim_3.Dat
UR	0	0	9512	9512	0	0	1	conf.mat.colony2_sim_3.Dat
FS	158	0	0	158	1	0	0	conf.mat.colony2_sim_40.Dat
HS	0	382	0	382	0	1	0	conf.mat.colony2_sim_40.Dat
UR	0	0	9360	9360	0	0	1	conf.mat.colony2_sim_40.Dat
FS	118	0	0	118	1	0	0	conf.mat.colony2_sim_41.Dat
HS	0	204	0	204	0	1	0	conf.mat.colony2_sim_41.Dat
UR	0	0	9578	9578	0	0	1	conf.mat.colony2_sim_41.Dat
FS	96	0	0	96	1	0	0	conf.mat.colony2_sim_42.Dat
HS	0	300	0	300	0	1	0	conf.mat.colony2_sim_42.Dat
UR	0	2	9502	9504	0	0	1	conf.mat.colony2_sim_42.Dat
FS	160	0	0	160	1	0	0	conf.mat.colony2_sim_43.Dat
HS	0	266	0	266	0	1	0	conf.mat.colony2_sim_43.Dat
