real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
UR	0	0	9474	9474	0	0	1	conf.mat.colony2_sim_43.Dat
FS	98	0	0	98	1	0	0	conf.mat.colony2_sim_45.Dat
HS	0	362	0	362	0	1	0	conf.mat.colony2_sim_45.Dat
UR	0	0	9440	9440	0	0	1	conf.mat.colony2_sim_45.Dat
FS	166	0	0	166	1	0	0	conf.mat.colony2_sim_46.Dat
HS	0	246	0	246	0	1	0	conf.mat.colony2_sim_46.Dat
UR	0	0	9488	9488	0	0	1	conf.mat.colony2_sim_46.Dat
FS	158	0	0	158	1	0	0	conf.mat.colony2_sim_47.Dat
HS	0	232	0	232	0	1	0	conf.mat.colony2_sim_47.Dat
UR	0	0	9510	9510	0	0	1	conf.mat.colony2_sim_47.Dat
FS	164	0	0	164	1	0	0	conf.mat.colony2_sim_48.Dat
HS	0	190	0	190	0	1	0	conf.mat.colony2_sim_48.Dat
UR	0	0	9546	9546	0	0	1	conf.mat.colony2_sim_48.Dat
FS	108	0	0	108	1	0	0	conf.mat.colony2_sim_49.Dat
HS	0	282	0	282	0	1	0	conf.mat.colony2_sim_49.Dat
UR	0	0	9510	9510	0	0	1	conf.mat.colony2_sim_49.Dat
FS	178	0	0	178	1	0	0	conf.mat.colony2_sim_4.Dat
HS	0	286	0	286	0	1	0	conf.mat.colony2_sim_4.Dat
UR	0	0	9436	9436	0	0	1	conf.mat.colony2_sim_4.Dat
FS	170	0	0	170	1	0	0	conf.mat.colony2_sim_50.Dat
HS	0	288	0	288	0	1	0	conf.mat.colony2_sim_50.Dat
UR	0	0	9442	9442	0	0	1	conf.mat.colony2_sim_50.Dat
FS	156	0	0	156	1	0	0	conf.mat.colony2_sim_51.Dat
HS	0	258	0	258	0	1	0	conf.mat.colony2_sim_51.Dat
UR	0	2	9484	9486	0	0	1	conf.mat.colony2_sim_51.Dat
FS	192	0	0	192	1	0	0	conf.mat.colony2_sim_52.Dat
HS	0	296	0	296	0	1	0	conf.mat.colony2_sim_52.Dat
UR	0	2	9410	9412	0	0	1	conf.mat.colony2_sim_52.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_53.Dat
HS	0	314	0	314	0	1	0	conf.mat.colony2_sim_53.Dat
UR	0	0	9464	9464	0	0	1	conf.mat.colony2_sim_53.Dat
FS	148	0	0	148	1	0	0	conf.mat.colony2_sim_54.Dat
HS	0	348	0	348	0	1	0	conf.mat.colony2_sim_54.Dat
UR	0	0	9404	9404	0	0	1	conf.mat.colony2_sim_54.Dat
FS	116	0	0	116	1	0	0	conf.mat.colony2_sim_55.Dat
HS	0	282	0	282	0	1	0	conf.mat.colony2_sim_55.Dat
UR	0	0	9502	9502	0	0	1	conf.mat.colony2_sim_55.Dat
FS	98	0	0	98	1	0	0	conf.mat.colony2_sim_56.Dat
HS	0	296	0	296	0	1	0	conf.mat.colony2_sim_56.Dat
UR	0	2	9504	9506	0	0	1	conf.mat.colony2_sim_56.Dat
FS	164	0	0	164	1	0	0	conf.mat.colony2_sim_57.Dat
HS	0	336	0	336	0	1	0	conf.mat.colony2_sim_57.Dat
UR	0	2	9398	9400	0	0	1	conf.mat.colony2_sim_57.Dat
FS	186	0	0	186	1	0	0	conf.mat.colony2_sim_58.Dat
HS	0	214	0	214	0	1	0	conf.mat.colony2_sim_58.Dat
UR	0	0	9500	9500	0	0	1	conf.mat.colony2_sim_58.Dat
FS	92	0	0	92	1	0	0	conf.mat.colony2_sim_5.Dat
HS	0	296	0	296	0	1	0	conf.mat.colony2_sim_5.Dat
UR	0	0	9512	9512	0	0	1	conf.mat.colony2_sim_5.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_61.Dat
HS	0	344	0	344	0	1	0	conf.mat.colony2_sim_61.Dat
UR	0	0	9428	9428	0	0	1	conf.mat.colony2_sim_61.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_62.Dat
HS	0	232	0	232	0	1	0	conf.mat.colony2_sim_62.Dat
UR	0	0	9546	9546	0	0	1	conf.mat.colony2_sim_62.Dat
FS	170	0	0	170	1	0	0	conf.mat.colony2_sim_63.Dat
HS	0	284	0	284	0	1	0	conf.mat.colony2_sim_63.Dat
UR	0	2	9444	9446	0	0	1	conf.mat.colony2_sim_63.Dat
FS	104	0	0	104	1	0	0	conf.mat.colony2_sim_65.Dat
HS	0	280	0	280	0	1	0	conf.mat.colony2_sim_65.Dat
UR	0	0	9516	9516	0	0	1	conf.mat.colony2_sim_65.Dat
FS	134	0	0	134	1	0	0	conf.mat.colony2_sim_66.Dat
HS	0	268	0	268	0	1	0	conf.mat.colony2_sim_66.Dat
UR	0	0	9498	9498	0	0	1	conf.mat.colony2_sim_66.Dat
FS	144	0	0	144	1	0	0	conf.mat.colony2_sim_67.Dat
HS	0	352	0	352	0	1	0	conf.mat.colony2_sim_67.Dat
UR	0	0	9404	9404	0	0	1	conf.mat.colony2_sim_67.Dat
FS	162	0	0	162	1	0	0	conf.mat.colony2_sim_68.Dat
HS	0	192	0	192	0	1	0	conf.mat.colony2_sim_68.Dat
UR	0	0	9546	9546	0	0	1	conf.mat.colony2_sim_68.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_69.Dat
HS	0	196	0	196	0	1	0	conf.mat.colony2_sim_69.Dat
UR	0	0	9582	9582	0	0	1	conf.mat.colony2_sim_69.Dat
FS	154	0	0	154	1	0	0	conf.mat.colony2_sim_6.Dat
HS	0	210	4	214	0	0.981	0.019	conf.mat.colony2_sim_6.Dat
UR	0	4	9528	9532	0	0	1	conf.mat.colony2_sim_6.Dat
FS	124	0	0	124	1	0	0	conf.mat.colony2_sim_70.Dat
HS	0	254	0	254	0	1	0	conf.mat.colony2_sim_70.Dat
UR	0	2	9520	9522	0	0	1	conf.mat.colony2_sim_70.Dat
FS	140	0	0	140	1	0	0	conf.mat.colony2_sim_71.Dat
HS	0	216	0	216	0	1	0	conf.mat.colony2_sim_71.Dat
UR	0	0	9544	9544	0	0	1	conf.mat.colony2_sim_71.Dat
FS	112	0	0	112	1	0	0	conf.mat.colony2_sim_72.Dat
HS	0	284	0	284	0	1	0	conf.mat.colony2_sim_72.Dat
UR	0	0	9504	9504	0	0	1	conf.mat.colony2_sim_72.Dat
FS	162	0	0	162	1	0	0	conf.mat.colony2_sim_73.Dat
HS	0	286	0	286	0	1	0	conf.mat.colony2_sim_73.Dat
UR	0	0	9452	9452	0	0	1	conf.mat.colony2_sim_73.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_74.Dat
HS	0	354	2	356	0	0.994	0.006	conf.mat.colony2_sim_74.Dat
UR	0	2	9414	9416	0	0	1	conf.mat.colony2_sim_74.Dat
FS	70	0	0	70	1	0	0	conf.mat.colony2_sim_75.Dat
HS	0	354	2	356	0	0.994	0.006	conf.mat.colony2_sim_75.Dat
UR	0	0	9474	9474	0	0	1	conf.mat.colony2_sim_75.Dat
FS	148	0	0	148	1	0	0	conf.mat.colony2_sim_76.Dat
HS	0	254	0	254	0	1	0	conf.mat.colony2_sim_76.Dat
UR	0	0	9498	9498	0	0	1	conf.mat.colony2_sim_76.Dat
FS	148	0	0	148	1	0	0	conf.mat.colony2_sim_77.Dat
HS	0	226	0	226	0	1	0	conf.mat.colony2_sim_77.Dat
UR	0	0	9526	9526	0	0	1	conf.mat.colony2_sim_77.Dat
FS	166	2	0	168	0.988	0.012	0	conf.mat.colony2_sim_78.Dat
HS	0	226	0	226	0	1	0	conf.mat.colony2_sim_78.Dat
UR	0	0	9506	9506	0	0	1	conf.mat.colony2_sim_78.Dat
FS	138	0	0	138	1	0	0	conf.mat.colony2_sim_79.Dat
HS	0	368	0	368	0	1	0	conf.mat.colony2_sim_79.Dat
UR	0	0	9394	9394	0	0	1	conf.mat.colony2_sim_79.Dat
FS	120	0	0	120	1	0	0	conf.mat.colony2_sim_7.Dat
HS	0	292	0	292	0	1	0	conf.mat.colony2_sim_7.Dat
UR	0	0	9488	9488	0	0	1	conf.mat.colony2_sim_7.Dat
FS	144	0	0	144	1	0	0	conf.mat.colony2_sim_80.Dat
HS	0	234	0	234	0	1	0	conf.mat.colony2_sim_80.Dat
UR	0	0	9522	9522	0	0	1	conf.mat.colony2_sim_80.Dat
FS	130	0	0	130	1	0	0	conf.mat.colony2_sim_81.Dat
HS	0	254	0	254	0	1	0	conf.mat.colony2_sim_81.Dat
UR	0	0	9516	9516	0	0	1	conf.mat.colony2_sim_81.Dat
FS	78	0	0	78	1	0	0	conf.mat.colony2_sim_82.Dat
HS	0	332	2	334	0	0.994	0.006	conf.mat.colony2_sim_82.Dat
UR	0	0	9488	9488	0	0	1	conf.mat.colony2_sim_82.Dat
FS	134	0	0	134	1	0	0	conf.mat.colony2_sim_83.Dat
HS	0	276	0	276	0	1	0	conf.mat.colony2_sim_83.Dat
UR	0	0	9490	9490	0	0	1	conf.mat.colony2_sim_83.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_84.Dat
HS	0	232	0	232	0	1	0	conf.mat.colony2_sim_84.Dat
UR	0	0	9546	9546	0	0	1	conf.mat.colony2_sim_84.Dat
FS	162	0	0	162	1	0	0	conf.mat.colony2_sim_85.Dat
HS	0	218	0	218	0	1	0	conf.mat.colony2_sim_85.Dat
UR	0	0	9520	9520	0	0	1	conf.mat.colony2_sim_85.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_86.Dat
HS	0	302	0	302	0	1	0	conf.mat.colony2_sim_86.Dat
UR	0	4	9466	9470	0	0	1	conf.mat.colony2_sim_86.Dat
FS	142	0	0	142	1	0	0	conf.mat.colony2_sim_87.Dat
HS	0	348	0	348	0	1	0	conf.mat.colony2_sim_87.Dat
UR	0	0	9410	9410	0	0	1	conf.mat.colony2_sim_87.Dat
FS	194	0	0	194	1	0	0	conf.mat.colony2_sim_88.Dat
HS	0	256	0	256	0	1	0	conf.mat.colony2_sim_88.Dat
UR	0	2	9448	9450	0	0	1	conf.mat.colony2_sim_88.Dat
FS	108	0	0	108	1	0	0	conf.mat.colony2_sim_89.Dat
HS	0	292	0	292	0	1	0	conf.mat.colony2_sim_89.Dat
UR	0	4	9496	9500	0	0	1	conf.mat.colony2_sim_89.Dat
FS	88	0	0	88	1	0	0	conf.mat.colony2_sim_8.Dat
HS	0	376	0	376	0	1	0	conf.mat.colony2_sim_8.Dat
UR	0	0	9436	9436	0	0	1	conf.mat.colony2_sim_8.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_90.Dat
HS	0	292	0	292	0	1	0	conf.mat.colony2_sim_90.Dat
UR	0	0	9480	9480	0	0	1	conf.mat.colony2_sim_90.Dat
FS	146	0	0	146	1	0	0	conf.mat.colony2_sim_91.Dat
HS	0	224	0	224	0	1	0	conf.mat.colony2_sim_91.Dat
UR	0	2	9528	9530	0	0	1	conf.mat.colony2_sim_91.Dat
FS	184	0	0	184	1	0	0	conf.mat.colony2_sim_92.Dat
HS	0	184	0	184	0	1	0	conf.mat.colony2_sim_92.Dat
UR	0	0	9532	9532	0	0	1	conf.mat.colony2_sim_92.Dat
FS	156	0	0	156	1	0	0	conf.mat.colony2_sim_93.Dat
HS	0	308	0	308	0	1	0	conf.mat.colony2_sim_93.Dat
UR	0	2	9434	9436	0	0	1	conf.mat.colony2_sim_93.Dat
FS	140	0	0	140	1	0	0	conf.mat.colony2_sim_94.Dat
HS	0	418	0	418	0	1	0	conf.mat.colony2_sim_94.Dat
UR	0	2	9340	9342	0	0	1	conf.mat.colony2_sim_94.Dat
FS	76	0	0	76	1	0	0	conf.mat.colony2_sim_95.Dat
HS	0	426	0	426	0	1	0	conf.mat.colony2_sim_95.Dat
UR	0	0	9398	9398	0	0	1	conf.mat.colony2_sim_95.Dat
FS	174	0	0	174	1	0	0	conf.mat.colony2_sim_96.Dat
HS	0	244	0	244	0	1	0	conf.mat.colony2_sim_96.Dat
UR	0	0	9482	9482	0	0	1	conf.mat.colony2_sim_96.Dat
FS	112	0	0	112	1	0	0	conf.mat.colony2_sim_97.Dat
HS	0	252	4	256	0	0.984	0.016	conf.mat.colony2_sim_97.Dat
UR	0	0	9532	9532	0	0	1	conf.mat.colony2_sim_97.Dat
FS	116	0	0	116	1	0	0	conf.mat.colony2_sim_98.Dat
HS	0	310	0	310	0	1	0	conf.mat.colony2_sim_98.Dat
UR	0	0	9474	9474	0	0	1	conf.mat.colony2_sim_98.Dat
FS	170	0	0	170	1	0	0	conf.mat.colony2_sim_99.Dat
HS	0	200	0	200	0	1	0	conf.mat.colony2_sim_99.Dat
UR	0	0	9530	9530	0	0	1	conf.mat.colony2_sim_99.Dat
FS	204	0	0	204	1	0	0	conf.mat.colony2_sim_9.Dat
HS	0	222	0	222	0	1	0	conf.mat.colony2_sim_9.Dat
UR	0	0	9474	9474	0	0	1	conf.mat.colony2_sim_9.Dat
