real.type	FS	HS	UR	sim
UR	0	0	6254	conf.mat.55
FS	1430	0	0	conf.mat.56
HS	0	2014	0	conf.mat.56
UR	0	0	6456	conf.mat.56
FS	1348	0	0	conf.mat.57
HS	0	3806	0	conf.mat.57
UR	0	0	4746	conf.mat.57
FS	1298	0	0	conf.mat.58
HS	0	3236	0	conf.mat.58
UR	0	0	5366	conf.mat.58
FS	954	0	0	conf.mat.59
HS	0	3946	0	conf.mat.59
UR	0	0	5000	conf.mat.59
FS	1216	0	0	conf.mat.6
HS	0	1958	0	conf.mat.6
UR	0	0	6726	conf.mat.6
FS	1358	0	0	conf.mat.60
HS	0	2214	0	conf.mat.60
UR	0	0	6328	conf.mat.60
FS	1234	0	0	conf.mat.61
HS	0	2316	0	conf.mat.61
UR	0	0	6350	conf.mat.61
FS	1222	0	0	conf.mat.62
HS	0	1596	0	conf.mat.62
UR	0	0	7082	conf.mat.62
FS	1428	0	0	conf.mat.63
HS	0	2596	0	conf.mat.63
UR	0	0	5876	conf.mat.63
FS	2528	0	0	conf.mat.64
HS	0	3788	0	conf.mat.64
UR	0	0	3584	conf.mat.64
FS	2342	0	0	conf.mat.65
HS	0	734	0	conf.mat.65
UR	0	0	6824	conf.mat.65
FS	1794	0	0	conf.mat.66
HS	0	168	1050	conf.mat.66
UR	0	0	6888	conf.mat.66
FS	826	0	0	conf.mat.67
HS	0	3074	0	conf.mat.67
UR	0	0	6000	conf.mat.67
FS	1664	0	0	conf.mat.68
HS	0	3094	0	conf.mat.68
UR	0	0	5142	conf.mat.68
FS	1186	0	0	conf.mat.69
HS	0	1786	0	conf.mat.69
UR	0	0	6928	conf.mat.69
FS	1496	0	0	conf.mat.7
HS	0	2118	0	conf.mat.7
UR	0	0	6286	conf.mat.7
FS	1516	0	0	conf.mat.70
HS	0	1902	0	conf.mat.70
UR	0	0	6482	conf.mat.70
FS	1518	0	0	conf.mat.71
HS	0	1588	0	conf.mat.71
UR	0	0	6794	conf.mat.71
FS	1682	0	0	conf.mat.72
HS	0	2284	0	conf.mat.72
UR	0	0	5934	conf.mat.72
FS	1066	0	0	conf.mat.73
HS	0	3110	0	conf.mat.73
UR	0	0	5724	conf.mat.73
FS	1578	0	0	conf.mat.74
HS	0	2146	0	conf.mat.74
UR	0	0	6176	conf.mat.74
FS	966	0	0	conf.mat.75
HS	0	3466	0	conf.mat.75
UR	0	0	5468	conf.mat.75
FS	1142	0	0	conf.mat.76
HS	0	2118	0	conf.mat.76
UR	0	0	6640	conf.mat.76
FS	952	0	0	conf.mat.77
HS	0	2672	0	conf.mat.77
UR	0	0	6276	conf.mat.77
FS	820	0	0	conf.mat.78
HS	0	2820	0	conf.mat.78
UR	0	0	6260	conf.mat.78
FS	1248	0	0	conf.mat.79
HS	0	2796	0	conf.mat.79
UR	0	0	5856	conf.mat.79
FS	940	0	0	conf.mat.8
HS	0	2974	0	conf.mat.8
UR	0	0	5986	conf.mat.8
FS	1404	0	0	conf.mat.80
HS	0	3020	0	conf.mat.80
