real.type	FS	HS	UR	sim
HS	0	3344	0	conf.mat.colony2_sim_58.Dat
UR	0	0	5600	conf.mat.colony2_sim_58.Dat
FS	1630	0	0	conf.mat.colony2_sim_59.Dat
HS	0	2200	0	conf.mat.colony2_sim_59.Dat
UR	0	0	6070	conf.mat.colony2_sim_59.Dat
FS	1248	0	0	conf.mat.colony2_sim_5.Dat
HS	0	2246	0	conf.mat.colony2_sim_5.Dat
UR	0	0	6406	conf.mat.colony2_sim_5.Dat
FS	890	0	0	conf.mat.colony2_sim_60.Dat
HS	0	2600	0	conf.mat.colony2_sim_60.Dat
UR	0	0	6410	conf.mat.colony2_sim_60.Dat
FS	1642	0	0	conf.mat.colony2_sim_61.Dat
HS	0	2882	0	conf.mat.colony2_sim_61.Dat
UR	0	0	5376	conf.mat.colony2_sim_61.Dat
FS	960	0	0	conf.mat.colony2_sim_62.Dat
HS	0	3248	0	conf.mat.colony2_sim_62.Dat
UR	0	0	5692	conf.mat.colony2_sim_62.Dat
FS	1160	0	0	conf.mat.colony2_sim_63.Dat
HS	0	3002	0	conf.mat.colony2_sim_63.Dat
UR	0	0	5738	conf.mat.colony2_sim_63.Dat
FS	1468	14	0	conf.mat.colony2_sim_64.Dat
HS	0	604	1180	conf.mat.colony2_sim_64.Dat
UR	0	0	6634	conf.mat.colony2_sim_64.Dat
FS	1290	0	0	conf.mat.colony2_sim_65.Dat
HS	0	1830	0	conf.mat.colony2_sim_65.Dat
UR	0	0	6780	conf.mat.colony2_sim_65.Dat
FS	1470	0	0	conf.mat.colony2_sim_66.Dat
HS	0	1598	0	conf.mat.colony2_sim_66.Dat
UR	0	0	6832	conf.mat.colony2_sim_66.Dat
FS	1816	0	0	conf.mat.colony2_sim_67.Dat
HS	0	1620	0	conf.mat.colony2_sim_67.Dat
UR	0	0	6464	conf.mat.colony2_sim_67.Dat
FS	1674	0	0	conf.mat.colony2_sim_68.Dat
HS	0	1278	336	conf.mat.colony2_sim_68.Dat
UR	0	0	6612	conf.mat.colony2_sim_68.Dat
FS	1476	0	0	conf.mat.colony2_sim_69.Dat
HS	0	1338	676	conf.mat.colony2_sim_69.Dat
UR	0	0	6410	conf.mat.colony2_sim_69.Dat
FS	2478	0	0	conf.mat.colony2_sim_6.Dat
HS	0	836	940	conf.mat.colony2_sim_6.Dat
UR	0	0	5646	conf.mat.colony2_sim_6.Dat
FS	866	0	0	conf.mat.colony2_sim_70.Dat
HS	0	2598	0	conf.mat.colony2_sim_70.Dat
UR	0	0	6436	conf.mat.colony2_sim_70.Dat
FS	1316	0	0	conf.mat.colony2_sim_71.Dat
HS	0	1976	0	conf.mat.colony2_sim_71.Dat
UR	0	0	6608	conf.mat.colony2_sim_71.Dat
FS	1202	0	0	conf.mat.colony2_sim_72.Dat
HS	0	2318	0	conf.mat.colony2_sim_72.Dat
UR	0	0	6380	conf.mat.colony2_sim_72.Dat
FS	1258	0	0	conf.mat.colony2_sim_73.Dat
HS	0	1870	0	conf.mat.colony2_sim_73.Dat
UR	0	0	6772	conf.mat.colony2_sim_73.Dat
FS	1270	0	0	conf.mat.colony2_sim_74.Dat
HS	0	2508	0	conf.mat.colony2_sim_74.Dat
UR	0	0	6122	conf.mat.colony2_sim_74.Dat
FS	1162	40	0	conf.mat.colony2_sim_75.Dat
HS	0	2336	14	conf.mat.colony2_sim_75.Dat
UR	0	0	6348	conf.mat.colony2_sim_75.Dat
FS	1226	0	0	conf.mat.colony2_sim_76.Dat
HS	0	2072	0	conf.mat.colony2_sim_76.Dat
UR	0	0	6602	conf.mat.colony2_sim_76.Dat
FS	1840	0	0	conf.mat.colony2_sim_77.Dat
HS	0	2778	0	conf.mat.colony2_sim_77.Dat
UR	0	0	5282	conf.mat.colony2_sim_77.Dat
FS	1120	0	0	conf.mat.colony2_sim_78.Dat
HS	0	2332	0	conf.mat.colony2_sim_78.Dat
UR	0	0	6448	conf.mat.colony2_sim_78.Dat
FS	1690	0	0	conf.mat.colony2_sim_7.Dat
HS	0	1266	1178	conf.mat.colony2_sim_7.Dat
UR	0	0	5766	conf.mat.colony2_sim_7.Dat
FS	1322	0	0	conf.mat.colony2_sim_80.Dat
HS	0	2326	0	conf.mat.colony2_sim_80.Dat
UR	0	0	6252	conf.mat.colony2_sim_80.Dat
FS	1146	0	0	conf.mat.colony2_sim_81.Dat
HS	0	2374	0	conf.mat.colony2_sim_81.Dat
UR	0	0	6380	conf.mat.colony2_sim_81.Dat
FS	1566	0	0	conf.mat.colony2_sim_82.Dat
HS	0	1926	0	conf.mat.colony2_sim_82.Dat
UR	0	0	6408	conf.mat.colony2_sim_82.Dat
FS	1524	0	0	conf.mat.colony2_sim_83.Dat
HS	0	1652	0	conf.mat.colony2_sim_83.Dat
UR	0	0	6724	conf.mat.colony2_sim_83.Dat
FS	1744	28	0	conf.mat.colony2_sim_84.Dat
HS	0	314	2194	conf.mat.colony2_sim_84.Dat
UR	0	0	5620	conf.mat.colony2_sim_84.Dat
FS	954	0	0	conf.mat.colony2_sim_85.Dat
HS	0	3038	0	conf.mat.colony2_sim_85.Dat
UR	0	0	5908	conf.mat.colony2_sim_85.Dat
FS	1196	0	0	conf.mat.colony2_sim_86.Dat
HS	0	2116	0	conf.mat.colony2_sim_86.Dat
UR	0	0	6588	conf.mat.colony2_sim_86.Dat
FS	1430	0	0	conf.mat.colony2_sim_88.Dat
HS	0	2378	0	conf.mat.colony2_sim_88.Dat
UR	0	0	6092	conf.mat.colony2_sim_88.Dat
FS	716	0	0	conf.mat.colony2_sim_89.Dat
HS	0	3030	0	conf.mat.colony2_sim_89.Dat
UR	0	0	6154	conf.mat.colony2_sim_89.Dat
FS	1818	0	0	conf.mat.colony2_sim_8.Dat
HS	0	1548	0	conf.mat.colony2_sim_8.Dat
UR	0	0	6534	conf.mat.colony2_sim_8.Dat
FS	1196	0	0	conf.mat.colony2_sim_90.Dat
HS	0	2512	0	conf.mat.colony2_sim_90.Dat
UR	0	0	6192	conf.mat.colony2_sim_90.Dat
FS	1082	0	0	conf.mat.colony2_sim_91.Dat
HS	0	2150	0	conf.mat.colony2_sim_91.Dat
UR	0	0	6668	conf.mat.colony2_sim_91.Dat
FS	1042	0	0	conf.mat.colony2_sim_92.Dat
HS	0	2612	0	conf.mat.colony2_sim_92.Dat
UR	0	0	6246	conf.mat.colony2_sim_92.Dat
FS	758	0	0	conf.mat.colony2_sim_93.Dat
HS	0	3792	0	conf.mat.colony2_sim_93.Dat
UR	0	0	5350	conf.mat.colony2_sim_93.Dat
FS	1730	24	0	conf.mat.colony2_sim_94.Dat
HS	0	1320	44	conf.mat.colony2_sim_94.Dat
UR	0	0	6782	conf.mat.colony2_sim_94.Dat
FS	1042	0	0	conf.mat.colony2_sim_95.Dat
HS	0	2344	0	conf.mat.colony2_sim_95.Dat
UR	0	0	6514	conf.mat.colony2_sim_95.Dat
FS	1230	0	0	conf.mat.colony2_sim_96.Dat
HS	0	2790	0	conf.mat.colony2_sim_96.Dat
UR	0	0	5880	conf.mat.colony2_sim_96.Dat
FS	1418	0	0	conf.mat.colony2_sim_97.Dat
HS	0	3068	0	conf.mat.colony2_sim_97.Dat
UR	0	0	5414	conf.mat.colony2_sim_97.Dat
FS	1110	0	0	conf.mat.colony2_sim_98.Dat
HS	0	2602	0	conf.mat.colony2_sim_98.Dat
UR	0	0	6188	conf.mat.colony2_sim_98.Dat
FS	1166	0	0	conf.mat.colony2_sim_99.Dat
HS	0	2020	0	conf.mat.colony2_sim_99.Dat
UR	0	0	6714	conf.mat.colony2_sim_99.Dat
FS	2072	2	0	conf.mat.colony2_sim_9.Dat
HS	0	1418	0	conf.mat.colony2_sim_9.Dat
UR	0	0	6408	conf.mat.colony2_sim_9.Dat
