real.type	FS	HS	UR	sim
FS	890	752	0	conf.mat.79
HS	0	2338	1170	conf.mat.79
UR	0	0	4750	conf.mat.79
FS	730	638	0	conf.mat.87
HS	0	3098	2146	conf.mat.87
UR	0	0	3288	conf.mat.87
FS	1546	0	0	conf.mat.colony2_sim_100.Dat
HS	0	3166	0	conf.mat.colony2_sim_100.Dat
UR	0	0	5188	conf.mat.colony2_sim_100.Dat
FS	1496	0	0	conf.mat.colony2_sim_10.Dat
HS	0	1654	0	conf.mat.colony2_sim_10.Dat
UR	0	0	6750	conf.mat.colony2_sim_10.Dat
FS	1058	0	0	conf.mat.colony2_sim_11.Dat
HS	0	2906	0	conf.mat.colony2_sim_11.Dat
UR	0	0	5936	conf.mat.colony2_sim_11.Dat
FS	2052	28	0	conf.mat.colony2_sim_12.Dat
HS	0	1746	214	conf.mat.colony2_sim_12.Dat
UR	0	0	5860	conf.mat.colony2_sim_12.Dat
FS	990	0	0	conf.mat.colony2_sim_13.Dat
HS	0	2708	0	conf.mat.colony2_sim_13.Dat
UR	0	0	6202	conf.mat.colony2_sim_13.Dat
FS	918	0	0	conf.mat.colony2_sim_14.Dat
HS	0	3384	0	conf.mat.colony2_sim_14.Dat
UR	0	0	5598	conf.mat.colony2_sim_14.Dat
FS	1696	0	0	conf.mat.colony2_sim_15.Dat
HS	0	2572	0	conf.mat.colony2_sim_15.Dat
UR	0	0	5632	conf.mat.colony2_sim_15.Dat
FS	1618	0	0	conf.mat.colony2_sim_16.Dat
HS	0	1458	210	conf.mat.colony2_sim_16.Dat
UR	0	0	6614	conf.mat.colony2_sim_16.Dat
FS	952	0	0	conf.mat.colony2_sim_17.Dat
HS	0	3172	0	conf.mat.colony2_sim_17.Dat
UR	0	0	5776	conf.mat.colony2_sim_17.Dat
FS	1264	4	0	conf.mat.colony2_sim_18.Dat
HS	0	1482	350	conf.mat.colony2_sim_18.Dat
UR	0	0	6800	conf.mat.colony2_sim_18.Dat
FS	1936	0	0	conf.mat.colony2_sim_19.Dat
HS	0	1992	0	conf.mat.colony2_sim_19.Dat
UR	0	0	5972	conf.mat.colony2_sim_19.Dat
FS	1728	0	0	conf.mat.colony2_sim_1.Dat
HS	0	1770	204	conf.mat.colony2_sim_1.Dat
UR	0	0	6198	conf.mat.colony2_sim_1.Dat
FS	798	0	0	conf.mat.colony2_sim_20.Dat
HS	0	3504	0	conf.mat.colony2_sim_20.Dat
UR	0	0	5598	conf.mat.colony2_sim_20.Dat
FS	1424	32	4	conf.mat.colony2_sim_21.Dat
HS	0	2332	54	conf.mat.colony2_sim_21.Dat
UR	0	0	6054	conf.mat.colony2_sim_21.Dat
FS	1078	0	0	conf.mat.colony2_sim_22.Dat
HS	0	2078	0	conf.mat.colony2_sim_22.Dat
UR	0	0	6744	conf.mat.colony2_sim_22.Dat
FS	1304	0	0	conf.mat.colony2_sim_23.Dat
HS	0	2850	0	conf.mat.colony2_sim_23.Dat
UR	0	0	5746	conf.mat.colony2_sim_23.Dat
FS	816	0	0	conf.mat.colony2_sim_24.Dat
HS	0	2842	0	conf.mat.colony2_sim_24.Dat
UR	0	0	6242	conf.mat.colony2_sim_24.Dat
FS	1018	0	0	conf.mat.colony2_sim_25.Dat
HS	0	2752	0	conf.mat.colony2_sim_25.Dat
UR	0	0	6130	conf.mat.colony2_sim_25.Dat
FS	2240	0	0	conf.mat.colony2_sim_26.Dat
HS	0	1510	72	conf.mat.colony2_sim_26.Dat
UR	0	0	6078	conf.mat.colony2_sim_26.Dat
FS	1376	30	0	conf.mat.colony2_sim_27.Dat
HS	0	3636	100	conf.mat.colony2_sim_27.Dat
UR	0	0	4758	conf.mat.colony2_sim_27.Dat
FS	1752	80	0	conf.mat.colony2_sim_28.Dat
HS	0	1422	44	conf.mat.colony2_sim_28.Dat
UR	0	0	6602	conf.mat.colony2_sim_28.Dat
FS	1200	0	0	conf.mat.colony2_sim_29.Dat
HS	0	2270	0	conf.mat.colony2_sim_29.Dat
UR	0	0	6430	conf.mat.colony2_sim_29.Dat
FS	1212	0	0	conf.mat.colony2_sim_2.Dat
HS	0	2274	0	conf.mat.colony2_sim_2.Dat
UR	0	0	6414	conf.mat.colony2_sim_2.Dat
FS	1598	0	0	conf.mat.colony2_sim_30.Dat
HS	0	2386	56	conf.mat.colony2_sim_30.Dat
UR	0	0	5860	conf.mat.colony2_sim_30.Dat
FS	872	0	0	conf.mat.colony2_sim_31.Dat
HS	0	3170	0	conf.mat.colony2_sim_31.Dat
UR	0	0	5858	conf.mat.colony2_sim_31.Dat
FS	922	0	0	conf.mat.colony2_sim_32.Dat
HS	0	2516	0	conf.mat.colony2_sim_32.Dat
UR	0	0	6462	conf.mat.colony2_sim_32.Dat
FS	1208	0	0	conf.mat.colony2_sim_33.Dat
HS	0	2302	0	conf.mat.colony2_sim_33.Dat
UR	0	0	6390	conf.mat.colony2_sim_33.Dat
FS	1050	0	0	conf.mat.colony2_sim_34.Dat
HS	0	2468	0	conf.mat.colony2_sim_34.Dat
UR	0	0	6382	conf.mat.colony2_sim_34.Dat
FS	1570	0	0	conf.mat.colony2_sim_35.Dat
HS	0	2150	0	conf.mat.colony2_sim_35.Dat
UR	0	0	6180	conf.mat.colony2_sim_35.Dat
FS	1378	0	0	conf.mat.colony2_sim_36.Dat
HS	0	2512	0	conf.mat.colony2_sim_36.Dat
UR	0	0	6010	conf.mat.colony2_sim_36.Dat
FS	1060	0	0	conf.mat.colony2_sim_37.Dat
HS	0	2268	0	conf.mat.colony2_sim_37.Dat
UR	0	0	6572	conf.mat.colony2_sim_37.Dat
FS	916	0	0	conf.mat.colony2_sim_38.Dat
HS	0	2732	0	conf.mat.colony2_sim_38.Dat
UR	0	0	6252	conf.mat.colony2_sim_38.Dat
FS	1226	34	0	conf.mat.colony2_sim_39.Dat
HS	0	1634	540	conf.mat.colony2_sim_39.Dat
UR	0	0	6466	conf.mat.colony2_sim_39.Dat
FS	1162	34	0	conf.mat.colony2_sim_3.Dat
HS	0	3580	90	conf.mat.colony2_sim_3.Dat
UR	0	0	5034	conf.mat.colony2_sim_3.Dat
FS	1126	0	0	conf.mat.colony2_sim_40.Dat
HS	0	2898	0	conf.mat.colony2_sim_40.Dat
UR	0	0	5876	conf.mat.colony2_sim_40.Dat
FS	1518	0	0	conf.mat.colony2_sim_41.Dat
HS	0	1860	0	conf.mat.colony2_sim_41.Dat
UR	0	0	6522	conf.mat.colony2_sim_41.Dat
FS	2166	0	0	conf.mat.colony2_sim_42.Dat
HS	0	1968	0	conf.mat.colony2_sim_42.Dat
UR	0	0	5766	conf.mat.colony2_sim_42.Dat
FS	1970	0	0	conf.mat.colony2_sim_43.Dat
HS	0	882	448	conf.mat.colony2_sim_43.Dat
UR	0	0	6600	conf.mat.colony2_sim_43.Dat
FS	938	22	0	conf.mat.colony2_sim_44.Dat
HS	0	3318	62	conf.mat.colony2_sim_44.Dat
UR	0	0	5560	conf.mat.colony2_sim_44.Dat
FS	1044	0	0	conf.mat.colony2_sim_45.Dat
HS	0	3184	0	conf.mat.colony2_sim_45.Dat
UR	0	0	5672	conf.mat.colony2_sim_45.Dat
FS	868	0	0	conf.mat.colony2_sim_46.Dat
HS	0	2794	0	conf.mat.colony2_sim_46.Dat
UR	0	0	6238	conf.mat.colony2_sim_46.Dat
FS	1148	16	0	conf.mat.colony2_sim_47.Dat
HS	0	3190	30	conf.mat.colony2_sim_47.Dat
UR	0	0	5516	conf.mat.colony2_sim_47.Dat
FS	954	0	0	conf.mat.colony2_sim_48.Dat
HS	0	2280	0	conf.mat.colony2_sim_48.Dat
UR	0	0	6666	conf.mat.colony2_sim_48.Dat
FS	1068	0	0	conf.mat.colony2_sim_49.Dat
HS	0	2036	0	conf.mat.colony2_sim_49.Dat
UR	0	0	6796	conf.mat.colony2_sim_49.Dat
FS	1214	0	0	conf.mat.colony2_sim_4.Dat
HS	0	3378	0	conf.mat.colony2_sim_4.Dat
UR	0	0	5308	conf.mat.colony2_sim_4.Dat
FS	1602	0	0	conf.mat.colony2_sim_50.Dat
HS	0	1516	1100	conf.mat.colony2_sim_50.Dat
UR	0	0	5682	conf.mat.colony2_sim_50.Dat
FS	1102	0	0	conf.mat.colony2_sim_51.Dat
HS	0	3244	0	conf.mat.colony2_sim_51.Dat
UR	0	0	5554	conf.mat.colony2_sim_51.Dat
FS	2504	2	0	conf.mat.colony2_sim_52.Dat
HS	0	520	1240	conf.mat.colony2_sim_52.Dat
UR	0	0	5634	conf.mat.colony2_sim_52.Dat
FS	858	0	0	conf.mat.colony2_sim_53.Dat
HS	0	2950	0	conf.mat.colony2_sim_53.Dat
UR	0	0	6092	conf.mat.colony2_sim_53.Dat
FS	1562	44	0	conf.mat.colony2_sim_54.Dat
HS	0	1986	0	conf.mat.colony2_sim_54.Dat
UR	0	0	6308	conf.mat.colony2_sim_54.Dat
FS	922	24	0	conf.mat.colony2_sim_55.Dat
HS	0	3038	64	conf.mat.colony2_sim_55.Dat
UR	0	0	5852	conf.mat.colony2_sim_55.Dat
FS	1146	0	0	conf.mat.colony2_sim_56.Dat
HS	0	2980	0	conf.mat.colony2_sim_56.Dat
UR	0	0	5774	conf.mat.colony2_sim_56.Dat
FS	1134	0	0	conf.mat.colony2_sim_57.Dat
HS	0	2404	0	conf.mat.colony2_sim_57.Dat
UR	0	0	6362	conf.mat.colony2_sim_57.Dat
FS	956	0	0	conf.mat.colony2_sim_58.Dat
