real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	4	12	0	16	0.25	0.75	0	conf.mat.1
HS	0	14	16	30	0	0.466666666666667	0.533333333333333	conf.mat.1
UR	4	302	9548	9854	0.000405926527298559	0.0306474528110412	0.96894662066166	conf.mat.1
FS	2	6	0	8	0.25	0.75	0	conf.mat.10
HS	0	16	12	28	0	0.571428571428571	0.428571428571429	conf.mat.10
UR	12	330	9522	9864	0.00121654501216545	0.0334549878345499	0.965328467153285	conf.mat.10
FS	6	4	0	10	0.6	0.4	0	conf.mat.100
HS	0	16	14	30	0	0.533333333333333	0.466666666666667	conf.mat.100
UR	6	308	9546	9860	0.000608519269776876	0.031237322515213	0.96815415821501	conf.mat.100
FS	6	4	0	10	0.6	0.4	0	conf.mat.11
HS	2	20	24	46	0.0434782608695652	0.434782608695652	0.521739130434783	conf.mat.11
UR	2	304	9538	9844	0.000203169443315725	0.0308817553839902	0.968915075172694	conf.mat.11
FS	8	2	0	10	0.8	0.2	0	conf.mat.12
HS	2	6	24	32	0.0625	0.1875	0.75	conf.mat.12
UR	8	316	9534	9858	0.000811523635625888	0.0320551836072226	0.967133292757152	conf.mat.12
FS	4	0	0	4	1	0	0	conf.mat.13
HS	0	20	22	42	0	0.476190476190476	0.523809523809524	conf.mat.13
UR	0	294	9560	9854	0	0.0298355997564441	0.970164400243556	conf.mat.13
FS	8	0	0	8	1	0	0	conf.mat.14
HS	4	16	10	30	0.133333333333333	0.533333333333333	0.333333333333333	conf.mat.14
UR	4	362	9496	9862	0.000405597241938755	0.0367065503954573	0.962887852362604	conf.mat.14
FS	8	2	2	12	0.666666666666667	0.166666666666667	0.166666666666667	conf.mat.15
HS	2	34	10	46	0.0434782608695652	0.739130434782609	0.217391304347826	conf.mat.15
UR	6	290	9546	9842	0.000609632188579557	0.0294655557813453	0.969924812030075	conf.mat.15
FS	8	0	0	8	1	0	0	conf.mat.16
HS	2	8	12	22	0.0909090909090909	0.363636363636364	0.545454545454545	conf.mat.16
UR	2	304	9564	9870	0.000202634245187437	0.0308004052684904	0.968996960486322	conf.mat.16
FS	10	6	0	16	0.625	0.375	0	conf.mat.17
HS	4	22	8	34	0.117647058823529	0.647058823529412	0.235294117647059	conf.mat.17
UR	2	320	9528	9850	0.000203045685279188	0.0324873096446701	0.967309644670051	conf.mat.17
FS	12	4	0	16	0.75	0.25	0	conf.mat.18
HS	0	6	10	16	0	0.375	0.625	conf.mat.18
UR	2	310	9556	9868	0.000202675314146737	0.0314146736927442	0.968382650993109	conf.mat.18
FS	8	4	2	14	0.571428571428571	0.285714285714286	0.142857142857143	conf.mat.19
HS	2	10	6	18	0.111111111111111	0.555555555555556	0.333333333333333	conf.mat.19
UR	4	328	9536	9868	0.000405350628293474	0.0332387515200649	0.966355897851642	conf.mat.19
FS	2	0	2	4	0.5	0	0.5	conf.mat.2
HS	2	10	12	24	0.0833333333333333	0.416666666666667	0.5	conf.mat.2
UR	4	316	9552	9872	0.000405186385737439	0.0320097244732577	0.967585089141005	conf.mat.2
