real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	8	2	0	10	0.8	0.2	0	conf.mat.20
HS	0	18	18	36	0	0.5	0.5	conf.mat.20
UR	6	286	9562	9854	0.000608889790947838	0.029023746701847	0.970367363507205	conf.mat.20
FS	12	4	0	16	0.75	0.25	0	conf.mat.21
HS	4	16	14	34	0.117647058823529	0.470588235294118	0.411764705882353	conf.mat.21
UR	2	314	9534	9850	0.000203045685279188	0.0318781725888325	0.967918781725888	conf.mat.21
FS	2	2	0	4	0.5	0.5	0	conf.mat.22
HS	0	16	14	30	0	0.533333333333333	0.466666666666667	conf.mat.22
UR	10	340	9516	9866	0.0010135819987837	0.0344617879586459	0.96452463004257	conf.mat.22
FS	8	0	2	10	0.8	0	0.2	conf.mat.23
HS	0	16	10	26	0	0.615384615384615	0.384615384615385	conf.mat.23
UR	4	304	9556	9864	0.00040551500405515	0.0308191403081914	0.968775344687753	conf.mat.23
FS	4	0	0	4	1	0	0	conf.mat.24
HS	0	16	12	28	0	0.571428571428571	0.428571428571429	conf.mat.24
UR	10	366	9492	9868	0.00101337657073368	0.0370895824888529	0.961897040940414	conf.mat.24
FS	10	2	0	12	0.833333333333333	0.166666666666667	0	conf.mat.25
HS	0	28	14	42	0	0.666666666666667	0.333333333333333	conf.mat.25
UR	2	280	9564	9846	0.000203128173877717	0.0284379443428804	0.971358927483242	conf.mat.25
FS	6	4	0	10	0.6	0.4	0	conf.mat.26
HS	2	16	10	28	0.0714285714285714	0.571428571428571	0.357142857142857	conf.mat.26
UR	6	328	9528	9862	0.000608395862908132	0.0332589738389779	0.966132630298114	conf.mat.26
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.27
HS	2	12	12	26	0.0769230769230769	0.461538461538462	0.461538461538462	conf.mat.27
UR	10	322	9530	9862	0.00101399310484689	0.0326505779760698	0.966335428919083	conf.mat.27
FS	4	6	0	10	0.4	0.6	0	conf.mat.28
HS	0	12	14	26	0	0.461538461538462	0.538461538461538	conf.mat.28
UR	4	318	9542	9864	0.00040551500405515	0.0322384428223844	0.96735604217356	conf.mat.28
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.29
HS	2	10	12	24	0.0833333333333333	0.416666666666667	0.5	conf.mat.29
UR	2	316	9546	9864	0.000202757502027575	0.0320356853203569	0.967761557177616	conf.mat.29
FS	4	14	4	22	0.181818181818182	0.636363636363636	0.181818181818182	conf.mat.3
HS	0	2	14	16	0	0.125	0.875	conf.mat.3
UR	0	318	9544	9862	0	0.032244980734131	0.967755019265869	conf.mat.3
FS	4	4	0	8	0.5	0.5	0	conf.mat.30
HS	0	14	20	34	0	0.411764705882353	0.588235294117647	conf.mat.30
UR	8	290	9560	9858	0.000811523635625888	0.0294177317914384	0.969770744572936	conf.mat.30
FS	10	6	0	16	0.625	0.375	0	conf.mat.31
HS	6	10	14	30	0.2	0.333333333333333	0.466666666666667	conf.mat.31
UR	0	314	9540	9854	0	0.0318652323929369	0.968134767607063	conf.mat.31
FS	10	6	0	16	0.625	0.375	0	conf.mat.32
HS	0	14	12	26	0	0.538461538461538	0.461538461538462	conf.mat.32
UR	8	320	9530	9858	0.000811523635625888	0.0324609454250355	0.966727530939339	conf.mat.32
FS	6	4	0	10	0.6	0.4	0	conf.mat.33
HS	0	10	32	42	0	0.238095238095238	0.761904761904762	conf.mat.33
UR	6	300	9542	9848	0.000609260763606824	0.0304630381803412	0.968927701056052	conf.mat.33
FS	14	2	0	16	0.875	0.125	0	conf.mat.34
HS	0	20	20	40	0	0.5	0.5	conf.mat.34
UR	4	280	9560	9844	0.000406338886631451	0.0284437220642015	0.971149939049167	conf.mat.34
FS	10	8	2	20	0.5	0.4	0.1	conf.mat.35
HS	0	20	6	26	0	0.769230769230769	0.230769230769231	conf.mat.35
UR	2	282	9570	9854	0.000202963263649279	0.0286178201745484	0.971179216561802	conf.mat.35
FS	14	2	0	16	0.875	0.125	0	conf.mat.36
HS	2	12	16	30	0.0666666666666667	0.4	0.533333333333333	conf.mat.36
UR	0	262	9592	9854	0	0.0265881875380556	0.973411812461944	conf.mat.36
FS	14	6	2	22	0.636363636363636	0.272727272727273	0.0909090909090909	conf.mat.37
HS	0	10	20	30	0	0.333333333333333	0.666666666666667	conf.mat.37
UR	4	328	9516	9848	0.000406173842404549	0.033306255077173	0.966287571080422	conf.mat.37
FS	6	4	0	10	0.6	0.4	0	conf.mat.38
HS	0	14	18	32	0	0.4375	0.5625	conf.mat.38
UR	2	312	9544	9858	0.000202880908906472	0.0316494217894096	0.968147697301684	conf.mat.38
FS	10	4	0	14	0.714285714285714	0.285714285714286	0	conf.mat.39
HS	0	12	4	16	0	0.75	0.25	conf.mat.39
UR	2	308	9560	9870	0.000202634245187437	0.0312056737588652	0.968591691995947	conf.mat.39
FS	8	0	0	8	1	0	0	conf.mat.4
HS	0	16	14	30	0	0.533333333333333	0.466666666666667	conf.mat.4
UR	8	262	9592	9862	0.00081119448387751	0.0265666193469884	0.972622186169134	conf.mat.4
FS	8	6	0	14	0.571428571428571	0.428571428571429	0	conf.mat.40
HS	4	6	20	30	0.133333333333333	0.2	0.666666666666667	conf.mat.40
UR	2	316	9538	9856	0.000202922077922078	0.0320616883116883	0.96773538961039	conf.mat.40
FS	12	4	2	18	0.666666666666667	0.222222222222222	0.111111111111111	conf.mat.41
HS	0	16	14	30	0	0.533333333333333	0.466666666666667	conf.mat.41
UR	2	358	9492	9852	0.000203004466098254	0.0363377994315875	0.963459196102314	conf.mat.41
FS	10	4	0	14	0.714285714285714	0.285714285714286	0	conf.mat.42
HS	0	12	6	18	0	0.666666666666667	0.333333333333333	conf.mat.42
UR	4	278	9586	9868	0.000405350628293474	0.0281718686663964	0.97142278070531	conf.mat.42
FS	10	2	0	12	0.833333333333333	0.166666666666667	0	conf.mat.43
HS	0	16	16	32	0	0.5	0.5	conf.mat.43
UR	2	320	9534	9856	0.000202922077922078	0.0324675324675325	0.967329545454545	conf.mat.43
FS	12	2	0	14	0.857142857142857	0.142857142857143	0	conf.mat.44
HS	2	16	14	32	0.0625	0.5	0.4375	conf.mat.44
UR	4	316	9534	9854	0.000405926527298559	0.0320681956565862	0.967525877816115	conf.mat.44
FS	4	0	0	4	1	0	0	conf.mat.45
HS	2	10	24	36	0.0555555555555556	0.277777777777778	0.666666666666667	conf.mat.45
UR	2	330	9528	9860	0.000202839756592292	0.0334685598377282	0.966328600405679	conf.mat.45
FS	12	2	0	14	0.857142857142857	0.142857142857143	0	conf.mat.46
HS	2	14	14	30	0.0666666666666667	0.466666666666667	0.466666666666667	conf.mat.46
UR	2	278	9576	9856	0.000202922077922078	0.0282061688311688	0.971590909090909	conf.mat.46
FS	20	6	0	26	0.769230769230769	0.230769230769231	0	conf.mat.47
HS	0	14	10	24	0	0.583333333333333	0.416666666666667	conf.mat.47
UR	10	304	9536	9850	0.00101522842639594	0.0308629441624365	0.968121827411167	conf.mat.47
FS	12	2	0	14	0.857142857142857	0.142857142857143	0	conf.mat.48
HS	2	8	14	24	0.0833333333333333	0.333333333333333	0.583333333333333	conf.mat.48
UR	6	336	9520	9862	0.000608395862908132	0.0340701683228554	0.965321435814236	conf.mat.48
FS	20	6	0	26	0.769230769230769	0.230769230769231	0	conf.mat.49
HS	2	6	8	16	0.125	0.375	0.5	conf.mat.49
UR	4	304	9550	9858	0.000405761817812944	0.0308378981537837	0.968756340028403	conf.mat.49
FS	14	2	2	18	0.777777777777778	0.111111111111111	0.111111111111111	conf.mat.5
HS	2	16	10	28	0.0714285714285714	0.571428571428571	0.357142857142857	conf.mat.5
UR	2	324	9528	9854	0.000202963263649279	0.0328800487111833	0.966916988025167	conf.mat.5
FS	4	8	2	14	0.285714285714286	0.571428571428571	0.142857142857143	conf.mat.50
HS	2	8	24	34	0.0588235294117647	0.235294117647059	0.705882352941177	conf.mat.50
UR	4	294	9554	9852	0.000406008932196508	0.0298416565164434	0.96975233455136	conf.mat.50
FS	6	0	0	6	1	0	0	conf.mat.51
HS	0	8	6	14	0	0.571428571428571	0.428571428571429	conf.mat.51
UR	2	280	9598	9880	0.000202429149797571	0.0283400809716599	0.971457489878543	conf.mat.51
FS	6	4	2	12	0.5	0.333333333333333	0.166666666666667	conf.mat.52
HS	0	16	16	32	0	0.5	0.5	conf.mat.52
UR	2	332	9522	9856	0.000202922077922078	0.0336850649350649	0.966112012987013	conf.mat.52
FS	4	2	0	6	0.666666666666667	0.333333333333333	0	conf.mat.53
HS	0	14	18	32	0	0.4375	0.5625	conf.mat.53
UR	4	302	9556	9862	0.000405597241938755	0.030622591766376	0.968971810991685	conf.mat.53
FS	6	4	0	10	0.6	0.4	0	conf.mat.54
HS	0	10	10	20	0	0.5	0.5	conf.mat.54
UR	2	284	9584	9870	0.000202634245187437	0.028774062816616	0.971023302938197	conf.mat.54
FS	16	6	0	22	0.727272727272727	0.272727272727273	0	conf.mat.55
HS	0	24	18	42	0	0.571428571428571	0.428571428571429	conf.mat.55
UR	2	312	9522	9836	0.000203334688897926	0.0317202114680765	0.968076453843026	conf.mat.55
FS	12	4	2	18	0.666666666666667	0.222222222222222	0.111111111111111	conf.mat.56
HS	4	12	10	26	0.153846153846154	0.461538461538462	0.384615384615385	conf.mat.56
UR	2	288	9566	9856	0.000202922077922078	0.0292207792207792	0.970576298701299	conf.mat.56
FS	10	6	0	16	0.625	0.375	0	conf.mat.57
HS	2	10	10	22	0.0909090909090909	0.454545454545455	0.454545454545455	conf.mat.57
UR	2	286	9574	9862	0.000202798620969377	0.029000202798621	0.97079699858041	conf.mat.57
FS	4	2	0	6	0.666666666666667	0.333333333333333	0	conf.mat.58
HS	2	14	14	30	0.0666666666666667	0.466666666666667	0.466666666666667	conf.mat.58
UR	4	286	9574	9864	0.00040551500405515	0.0289943227899432	0.970600162206002	conf.mat.58
FS	12	2	0	14	0.857142857142857	0.142857142857143	0	conf.mat.59
HS	0	28	10	38	0	0.736842105263158	0.263157894736842	conf.mat.59
UR	4	306	9538	9848	0.000406173842404549	0.031072298943948	0.968521527213647	conf.mat.59
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.6
HS	0	28	14	42	0	0.666666666666667	0.333333333333333	conf.mat.6
UR	0	316	9530	9846	0	0.0320942514726793	0.967905748527321	conf.mat.6
FS	12	2	2	16	0.75	0.125	0.125	conf.mat.60
HS	2	10	2	14	0.142857142857143	0.714285714285714	0.142857142857143	conf.mat.60
UR	4	316	9550	9870	0.000405268490374873	0.032016210739615	0.96757852077001	conf.mat.60
FS	14	4	2	20	0.7	0.2	0.1	conf.mat.61
HS	0	0	2	2	0	0	1	conf.mat.61
UR	6	348	9524	9878	0.000607410406964973	0.0352298036039684	0.964162785989067	conf.mat.61
FS	12	4	2	18	0.666666666666667	0.222222222222222	0.111111111111111	conf.mat.62
HS	2	14	14	30	0.0666666666666667	0.466666666666667	0.466666666666667	conf.mat.62
UR	0	304	9548	9852	0	0.0308566788469346	0.969143321153065	conf.mat.62
FS	6	2	0	8	0.75	0.25	0	conf.mat.63
HS	0	12	22	34	0	0.352941176470588	0.647058823529412	conf.mat.63
UR	4	346	9508	9858	0.000405761817812944	0.0350983972408196	0.964495840941367	conf.mat.63
FS	8	6	0	14	0.571428571428571	0.428571428571429	0	conf.mat.64
HS	0	32	4	36	0	0.888888888888889	0.111111111111111	conf.mat.64
UR	2	272	9576	9850	0.000203045685279188	0.0276142131979695	0.972182741116751	conf.mat.64
FS	8	4	2	14	0.571428571428571	0.285714285714286	0.142857142857143	conf.mat.65
HS	0	14	18	32	0	0.4375	0.5625	conf.mat.65
UR	0	360	9494	9854	0	0.0365333874568703	0.96346661254313	conf.mat.65
FS	10	0	0	10	1	0	0	conf.mat.66
HS	0	30	10	40	0	0.75	0.25	conf.mat.66
UR	0	312	9538	9850	0	0.0316751269035533	0.968324873096447	conf.mat.66
FS	6	0	0	6	1	0	0	conf.mat.67
HS	0	10	12	22	0	0.454545454545455	0.545454545454545	conf.mat.67
UR	8	298	9566	9872	0.000810372771474878	0.0301863857374392	0.969003241491086	conf.mat.67
FS	2	2	0	4	0.5	0.5	0	conf.mat.68
HS	2	10	8	20	0.1	0.5	0.4	conf.mat.68
UR	4	324	9548	9876	0.000405022276225192	0.0328068043742406	0.966788173349534	conf.mat.68
FS	2	0	0	2	1	0	0	conf.mat.69
HS	0	10	16	26	0	0.384615384615385	0.615384615384615	conf.mat.69
UR	6	292	9574	9872	0.000607779578606159	0.0295786061588331	0.969813614262561	conf.mat.69
FS	6	4	0	10	0.6	0.4	0	conf.mat.7
HS	0	14	10	24	0	0.583333333333333	0.416666666666667	conf.mat.7
UR	2	306	9558	9866	0.00020271639975674	0.0310156091627813	0.968781674437462	conf.mat.7
FS	16	2	0	18	0.888888888888889	0.111111111111111	0	conf.mat.70
HS	2	24	14	40	0.05	0.6	0.35	conf.mat.70
UR	2	294	9546	9842	0.000203210729526519	0.0298719772403983	0.969924812030075	conf.mat.70
FS	28	8	0	36	0.777777777777778	0.222222222222222	0	conf.mat.71
HS	0	22	20	42	0	0.523809523809524	0.476190476190476	conf.mat.71
UR	0	288	9534	9822	0	0.0293219303604154	0.970678069639585	conf.mat.71
FS	6	8	0	14	0.428571428571429	0.571428571428571	0	conf.mat.72
HS	2	10	20	32	0.0625	0.3125	0.625	conf.mat.72
UR	2	334	9518	9854	0.000202963263649279	0.0338948650294297	0.965902171706921	conf.mat.72
FS	10	8	2	20	0.5	0.4	0.1	conf.mat.73
HS	0	18	12	30	0	0.6	0.4	conf.mat.73
UR	4	294	9552	9850	0.000406091370558376	0.0298477157360406	0.969746192893401	conf.mat.73
FS	4	6	0	10	0.4	0.6	0	conf.mat.74
HS	2	14	16	32	0.0625	0.4375	0.5	conf.mat.74
UR	4	316	9538	9858	0.000405761817812944	0.0320551836072226	0.967539054574964	conf.mat.74
FS	20	0	2	22	0.909090909090909	0	0.0909090909090909	conf.mat.75
HS	0	28	16	44	0	0.636363636363636	0.363636363636364	conf.mat.75
UR	6	288	9540	9834	0.00061012812690665	0.0292861500915192	0.970103721781574	conf.mat.75
FS	6	2	0	8	0.75	0.25	0	conf.mat.76
HS	0	24	10	34	0	0.705882352941177	0.294117647058824	conf.mat.76
UR	6	258	9594	9858	0.000608642726719416	0.0261716372489349	0.973219720024346	conf.mat.76
FS	10	4	0	14	0.714285714285714	0.285714285714286	0	conf.mat.77
HS	6	16	6	28	0.214285714285714	0.571428571428571	0.214285714285714	conf.mat.77
UR	6	284	9568	9858	0.000608642726719416	0.028809089064719	0.970582268208562	conf.mat.77
FS	8	0	0	8	1	0	0	conf.mat.78
HS	2	14	12	28	0.0714285714285714	0.5	0.428571428571429	conf.mat.78
UR	4	322	9538	9864	0.00040551500405515	0.0326439578264396	0.966950527169505	conf.mat.78
FS	8	2	0	10	0.8	0.2	0	conf.mat.79
HS	2	16	6	24	0.0833333333333333	0.666666666666667	0.25	conf.mat.79
UR	0	296	9570	9866	0	0.0300020271639976	0.969997972836002	conf.mat.79
FS	10	6	0	16	0.625	0.375	0	conf.mat.8
HS	0	22	12	34	0	0.647058823529412	0.352941176470588	conf.mat.8
UR	6	290	9554	9850	0.000609137055837563	0.0294416243654822	0.96994923857868	conf.mat.8
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.80
HS	2	20	8	30	0.0666666666666667	0.666666666666667	0.266666666666667	conf.mat.80
UR	6	266	9586	9858	0.000608642726719416	0.0269831608845608	0.97240819638872	conf.mat.80
FS	4	2	0	6	0.666666666666667	0.333333333333333	0	conf.mat.81
HS	6	10	12	28	0.214285714285714	0.357142857142857	0.428571428571429	conf.mat.81
UR	2	334	9530	9866	0.00020271639975674	0.0338536387593756	0.965943644840868	conf.mat.81
FS	12	2	0	14	0.857142857142857	0.142857142857143	0	conf.mat.82
HS	0	22	6	28	0	0.785714285714286	0.214285714285714	conf.mat.82
UR	0	286	9572	9858	0	0.0290119699736255	0.970988030026375	conf.mat.82
FS	14	2	2	18	0.777777777777778	0.111111111111111	0.111111111111111	conf.mat.83
HS	2	20	10	32	0.0625	0.625	0.3125	conf.mat.83
UR	4	310	9536	9850	0.000406091370558376	0.0314720812182741	0.968121827411167	conf.mat.83
FS	8	6	0	14	0.571428571428571	0.428571428571429	0	conf.mat.84
HS	0	4	10	14	0	0.285714285714286	0.714285714285714	conf.mat.84
UR	0	274	9598	9872	0	0.0277552674230146	0.972244732576985	conf.mat.84
FS	6	4	0	10	0.6	0.4	0	conf.mat.85
HS	0	12	20	32	0	0.375	0.625	conf.mat.85
UR	2	350	9506	9858	0.000202880908906472	0.0355041590586326	0.964292960032461	conf.mat.85
FS	10	2	0	12	0.833333333333333	0.166666666666667	0	conf.mat.86
HS	4	28	6	38	0.105263157894737	0.736842105263158	0.157894736842105	conf.mat.86
UR	4	304	9542	9850	0.000406091370558376	0.0308629441624365	0.968730964467005	conf.mat.86
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.87
HS	2	26	28	56	0.0357142857142857	0.464285714285714	0.5	conf.mat.87
UR	4	296	9532	9832	0.000406834825061025	0.0301057770545159	0.969487388120423	conf.mat.87
FS	4	4	2	10	0.4	0.4	0.2	conf.mat.88
HS	0	6	20	26	0	0.230769230769231	0.769230769230769	conf.mat.88
UR	2	346	9516	9864	0.000202757502027575	0.0350770478507705	0.964720194647202	conf.mat.88
FS	6	2	0	8	0.75	0.25	0	conf.mat.89
HS	0	16	12	28	0	0.571428571428571	0.428571428571429	conf.mat.89
UR	6	356	9502	9864	0.000608272506082725	0.0360908353609084	0.963300892133009	conf.mat.89
FS	14	4	2	20	0.7	0.2	0.1	conf.mat.9
HS	0	10	10	20	0	0.5	0.5	conf.mat.9
UR	2	290	9568	9860	0.000202839756592292	0.0294117647058824	0.970385395537525	conf.mat.9
FS	4	0	2	6	0.666666666666667	0	0.333333333333333	conf.mat.90
HS	2	22	26	50	0.04	0.44	0.52	conf.mat.90
UR	0	324	9520	9844	0	0.0329134498171475	0.967086550182853	conf.mat.90
FS	8	0	0	8	1	0	0	conf.mat.91
HS	2	12	16	30	0.0666666666666667	0.4	0.533333333333333	conf.mat.91
UR	4	330	9528	9862	0.000405597241938755	0.0334617724599473	0.966132630298114	conf.mat.91
FS	12	4	0	16	0.75	0.25	0	conf.mat.92
HS	2	18	10	30	0.0666666666666667	0.6	0.333333333333333	conf.mat.92
UR	0	278	9576	9854	0	0.0282118936472498	0.97178810635275	conf.mat.92
FS	8	4	2	14	0.571428571428571	0.285714285714286	0.142857142857143	conf.mat.93
HS	0	20	14	34	0	0.588235294117647	0.411764705882353	conf.mat.93
UR	6	328	9518	9852	0.000609013398294762	0.0332927324401137	0.966098254161592	conf.mat.93
FS	6	0	2	8	0.75	0	0.25	conf.mat.94
HS	0	24	16	40	0	0.6	0.4	conf.mat.94
UR	6	300	9546	9852	0.000609013398294762	0.0304506699147381	0.968940316686967	conf.mat.94
FS	16	4	0	20	0.8	0.2	0	conf.mat.95
HS	0	8	6	14	0	0.571428571428571	0.428571428571429	conf.mat.95
UR	0	336	9530	9866	0	0.0340563551591324	0.965943644840868	conf.mat.95
FS	12	0	0	12	1	0	0	conf.mat.96
HS	2	16	8	26	0.0769230769230769	0.615384615384615	0.307692307692308	conf.mat.96
UR	4	310	9548	9862	0.000405597241938755	0.0314337862502535	0.968160616507808	conf.mat.96
FS	4	2	0	6	0.666666666666667	0.333333333333333	0	conf.mat.97
HS	0	22	16	38	0	0.578947368421053	0.421052631578947	conf.mat.97
UR	0	338	9518	9856	0	0.0342938311688312	0.965706168831169	conf.mat.97
FS	10	0	0	10	1	0	0	conf.mat.98
HS	0	22	18	40	0	0.55	0.45	conf.mat.98
UR	6	312	9532	9850	0.000609137055837563	0.0316751269035533	0.967715736040609	conf.mat.98
FS	8	4	0	12	0.666666666666667	0.333333333333333	0	conf.mat.99
HS	4	12	8	24	0.166666666666667	0.5	0.333333333333333	conf.mat.99
UR	0	342	9522	9864	0	0.0346715328467153	0.965328467153285	conf.mat.99
