real.type	FS	HS	UR	sim
HS	2	226	28	conf.mat.colony2_sim_39.Dat
UR	0	74	9422	conf.mat.colony2_sim_39.Dat
FS	158	8	0	conf.mat.colony2_sim_3.Dat
HS	0	322	20	conf.mat.colony2_sim_3.Dat
UR	0	78	9314	conf.mat.colony2_sim_3.Dat
FS	70	10	4	conf.mat.colony2_sim_40.Dat
HS	4	242	74	conf.mat.colony2_sim_40.Dat
UR	0	130	9366	conf.mat.colony2_sim_40.Dat
FS	116	14	0	conf.mat.colony2_sim_41.Dat
HS	10	152	104	conf.mat.colony2_sim_41.Dat
UR	0	166	9338	conf.mat.colony2_sim_41.Dat
FS	134	4	2	conf.mat.colony2_sim_42.Dat
HS	0	200	38	conf.mat.colony2_sim_42.Dat
UR	0	100	9422	conf.mat.colony2_sim_42.Dat
FS	86	16	0	conf.mat.colony2_sim_43.Dat
HS	2	236	92	conf.mat.colony2_sim_43.Dat
UR	0	124	9344	conf.mat.colony2_sim_43.Dat
FS	100	16	2	conf.mat.colony2_sim_44.Dat
HS	2	192	82	conf.mat.colony2_sim_44.Dat
UR	0	112	9394	conf.mat.colony2_sim_44.Dat
FS	94	36	4	conf.mat.colony2_sim_45.Dat
HS	2	238	64	conf.mat.colony2_sim_45.Dat
UR	0	86	9376	conf.mat.colony2_sim_45.Dat
FS	150	14	0	conf.mat.colony2_sim_46.Dat
HS	0	162	74	conf.mat.colony2_sim_46.Dat
UR	0	152	9348	conf.mat.colony2_sim_46.Dat
FS	80	8	0	conf.mat.colony2_sim_47.Dat
HS	4	252	80	conf.mat.colony2_sim_47.Dat
UR	0	114	9362	conf.mat.colony2_sim_47.Dat
FS	182	18	0	conf.mat.colony2_sim_48.Dat
HS	6	208	70	conf.mat.colony2_sim_48.Dat
UR	2	146	9268	conf.mat.colony2_sim_48.Dat
FS	86	24	0	conf.mat.colony2_sim_49.Dat
HS	2	270	92	conf.mat.colony2_sim_49.Dat
UR	0	108	9318	conf.mat.colony2_sim_49.Dat
FS	90	2	0	conf.mat.colony2_sim_4.Dat
HS	0	304	40	conf.mat.colony2_sim_4.Dat
UR	0	120	9344	conf.mat.colony2_sim_4.Dat
FS	142	14	0	conf.mat.colony2_sim_50.Dat
HS	4	258	68	conf.mat.colony2_sim_50.Dat
UR	0	112	9302	conf.mat.colony2_sim_50.Dat
FS	160	8	0	conf.mat.colony2_sim_51.Dat
HS	2	302	20	conf.mat.colony2_sim_51.Dat
UR	0	62	9346	conf.mat.colony2_sim_51.Dat
FS	126	20	2	conf.mat.colony2_sim_52.Dat
HS	8	196	72	conf.mat.colony2_sim_52.Dat
UR	0	132	9344	conf.mat.colony2_sim_52.Dat
FS	164	0	2	conf.mat.colony2_sim_53.Dat
HS	2	202	48	conf.mat.colony2_sim_53.Dat
UR	0	100	9382	conf.mat.colony2_sim_53.Dat
FS	104	34	0	conf.mat.colony2_sim_54.Dat
HS	4	184	68	conf.mat.colony2_sim_54.Dat
UR	0	100	9406	conf.mat.colony2_sim_54.Dat
FS	116	6	0	conf.mat.colony2_sim_55.Dat
HS	4	478	74	conf.mat.colony2_sim_55.Dat
UR	0	124	9098	conf.mat.colony2_sim_55.Dat
FS	144	24	0	conf.mat.colony2_sim_56.Dat
HS	2	200	74	conf.mat.colony2_sim_56.Dat
UR	2	110	9344	conf.mat.colony2_sim_56.Dat
FS	118	8	2	conf.mat.colony2_sim_57.Dat
HS	2	180	52	conf.mat.colony2_sim_57.Dat
UR	0	124	9414	conf.mat.colony2_sim_57.Dat
FS	78	20	0	conf.mat.colony2_sim_58.Dat
HS	2	282	42	conf.mat.colony2_sim_58.Dat
UR	0	120	9356	conf.mat.colony2_sim_58.Dat
FS	88	12	0	conf.mat.colony2_sim_59.Dat
HS	2	194	56	conf.mat.colony2_sim_59.Dat
UR	0	110	9438	conf.mat.colony2_sim_59.Dat
FS	96	6	2	conf.mat.colony2_sim_5.Dat
HS	0	280	66	conf.mat.colony2_sim_5.Dat
UR	0	102	9348	conf.mat.colony2_sim_5.Dat
FS	108	12	4	conf.mat.colony2_sim_60.Dat
HS	8	226	48	conf.mat.colony2_sim_60.Dat
UR	0	152	9342	conf.mat.colony2_sim_60.Dat
FS	190	8	0	conf.mat.colony2_sim_61.Dat
HS	6	232	38	conf.mat.colony2_sim_61.Dat
UR	0	72	9354	conf.mat.colony2_sim_61.Dat
FS	104	10	0	conf.mat.colony2_sim_62.Dat
HS	2	336	46	conf.mat.colony2_sim_62.Dat
UR	0	104	9298	conf.mat.colony2_sim_62.Dat
FS	138	6	0	conf.mat.colony2_sim_63.Dat
HS	0	176	28	conf.mat.colony2_sim_63.Dat
UR	4	152	9396	conf.mat.colony2_sim_63.Dat
FS	130	16	0	conf.mat.colony2_sim_64.Dat
HS	4	158	66	conf.mat.colony2_sim_64.Dat
UR	0	138	9388	conf.mat.colony2_sim_64.Dat
FS	104	6	2	conf.mat.colony2_sim_65.Dat
HS	0	226	72	conf.mat.colony2_sim_65.Dat
UR	0	66	9424	conf.mat.colony2_sim_65.Dat
FS	124	8	0	conf.mat.colony2_sim_66.Dat
HS	0	206	76	conf.mat.colony2_sim_66.Dat
UR	0	104	9382	conf.mat.colony2_sim_66.Dat
FS	114	8	2	conf.mat.colony2_sim_67.Dat
