real.type	FS	HS	UR	sim
FS	1562	0	0	conf.mat.1
HS	0	2202	0	conf.mat.1
UR	0	0	6136	conf.mat.1
FS	1866	0	0	conf.mat.100
HS	0	3020	0	conf.mat.100
UR	0	0	5014	conf.mat.100
FS	1372	0	0	conf.mat.11
HS	0	2380	0	conf.mat.11
UR	0	0	6148	conf.mat.11
FS	2636	0	0	conf.mat.13
HS	0	940	0	conf.mat.13
UR	0	0	6324	conf.mat.13
FS	1596	0	0	conf.mat.15
HS	0	1478	0	conf.mat.15
UR	0	0	6826	conf.mat.15
FS	1596	0	0	conf.mat.16
HS	0	1806	0	conf.mat.16
UR	0	0	6498	conf.mat.16
FS	1284	0	0	conf.mat.17
HS	0	2512	0	conf.mat.17
UR	0	0	6104	conf.mat.17
FS	2036	0	0	conf.mat.18
HS	0	1418	0	conf.mat.18
UR	0	0	6446	conf.mat.18
FS	2126	0	0	conf.mat.19
HS	0	2248	0	conf.mat.19
UR	0	0	5526	conf.mat.19
FS	2516	0	0	conf.mat.2
HS	0	746	0	conf.mat.2
UR	0	0	6638	conf.mat.2
FS	1276	0	0	conf.mat.25
HS	0	2328	0	conf.mat.25
UR	0	0	6296	conf.mat.25
FS	1800	0	0	conf.mat.26
HS	0	1484	0	conf.mat.26
UR	0	0	6616	conf.mat.26
FS	2236	0	0	conf.mat.27
HS	0	1402	0	conf.mat.27
UR	0	0	6262	conf.mat.27
FS	1532	0	0	conf.mat.28
HS	0	1700	0	conf.mat.28
UR	0	0	6668	conf.mat.28
FS	1258	0	0	conf.mat.29
HS	0	2656	0	conf.mat.29
UR	0	0	5986	conf.mat.29
FS	1718	0	0	conf.mat.3
HS	0	2470	0	conf.mat.3
UR	0	0	5712	conf.mat.3
FS	1400	0	0	conf.mat.31
HS	0	1892	0	conf.mat.31
UR	0	0	6608	conf.mat.31
FS	1990	0	0	conf.mat.34
HS	0	1084	0	conf.mat.34
UR	0	0	6826	conf.mat.34
FS	1212	0	0	conf.mat.35
HS	0	2170	0	conf.mat.35
UR	0	0	6518	conf.mat.35
FS	1678	0	0	conf.mat.36
