real.type	FS	HS	UR	sim
HS	0	2562	0	conf.mat.36
UR	0	0	5660	conf.mat.36
FS	1836	0	0	conf.mat.39
HS	0	1848	0	conf.mat.39
UR	0	0	6216	conf.mat.39
FS	2496	0	0	conf.mat.4
HS	0	4086	0	conf.mat.4
UR	0	0	3318	conf.mat.4
FS	1638	0	0	conf.mat.40
HS	0	1046	0	conf.mat.40
UR	0	0	7216	conf.mat.40
FS	2106	0	0	conf.mat.41
HS	0	1338	0	conf.mat.41
UR	0	0	6456	conf.mat.41
FS	1308	0	0	conf.mat.43
HS	0	2172	0	conf.mat.43
UR	0	0	6420	conf.mat.43
FS	1520	0	0	conf.mat.47
HS	0	2578	0	conf.mat.47
UR	0	0	5802	conf.mat.47
FS	1664	0	0	conf.mat.49
HS	0	1900	0	conf.mat.49
UR	0	0	6336	conf.mat.49
FS	1692	0	0	conf.mat.5
HS	0	1856	0	conf.mat.5
UR	0	0	6352	conf.mat.5
FS	1294	0	0	conf.mat.51
HS	0	2574	0	conf.mat.51
UR	0	0	6032	conf.mat.51
FS	2136	0	0	conf.mat.55
HS	0	2676	0	conf.mat.55
UR	0	0	5088	conf.mat.55
FS	1774	0	0	conf.mat.56
HS	0	1394	0	conf.mat.56
UR	0	0	6732	conf.mat.56
FS	1804	0	0	conf.mat.57
HS	0	906	0	conf.mat.57
UR	0	0	7190	conf.mat.57
FS	1222	0	0	conf.mat.59
HS	0	1988	0	conf.mat.59
UR	0	0	6690	conf.mat.59
FS	1864	0	0	conf.mat.6
HS	0	1174	0	conf.mat.6
UR	0	0	6862	conf.mat.6
FS	1428	0	0	conf.mat.61
HS	0	2868	0	conf.mat.61
UR	0	0	5604	conf.mat.61
FS	1762	0	0	conf.mat.62
HS	0	1732	0	conf.mat.62
UR	0	0	6406	conf.mat.62
FS	1352	0	0	conf.mat.63
HS	0	2430	0	conf.mat.63
UR	0	0	6118	conf.mat.63
FS	1732	0	0	conf.mat.66
HS	0	3302	0	conf.mat.66
UR	0	0	4866	conf.mat.66
FS	1648	0	0	conf.mat.68
HS	0	1564	0	conf.mat.68
UR	0	0	6688	conf.mat.68
FS	1962	0	0	conf.mat.69
HS	0	2016	0	conf.mat.69
UR	0	0	5922	conf.mat.69
FS	2288	0	0	conf.mat.71
HS	0	1046	0	conf.mat.71
UR	0	0	6566	conf.mat.71
FS	1474	0	0	conf.mat.72
HS	0	1720	0	conf.mat.72
UR	0	0	6706	conf.mat.72
FS	2430	0	0	conf.mat.73
HS	0	4528	0	conf.mat.73
UR	0	0	2942	conf.mat.73
FS	1650	0	0	conf.mat.78
HS	0	2668	0	conf.mat.78
UR	0	0	5582	conf.mat.78
FS	1442	0	0	conf.mat.79
HS	0	2206	0	conf.mat.79
UR	0	0	6252	conf.mat.79
FS	1444	0	0	conf.mat.8
HS	0	2076	0	conf.mat.8
UR	0	0	6380	conf.mat.8
FS	1724	0	0	conf.mat.81
HS	0	2394	0	conf.mat.81
UR	0	0	5782	conf.mat.81
FS	1726	0	0	conf.mat.84
HS	0	2242	0	conf.mat.84
UR	0	0	5932	conf.mat.84
FS	1610	0	0	conf.mat.86
HS	0	2046	0	conf.mat.86
UR	0	0	6244	conf.mat.86
FS	1098	0	0	conf.mat.93
HS	0	2550	0	conf.mat.93
UR	0	0	6252	conf.mat.93
FS	944	0	0	conf.mat.94
HS	0	2588	0	conf.mat.94
UR	0	0	6368	conf.mat.94
FS	1352	0	0	conf.mat.95
HS	0	1742	0	conf.mat.95
UR	0	0	6806	conf.mat.95
FS	2118	0	0	conf.mat.99
HS	0	1840	0	conf.mat.99
UR	0	0	5942	conf.mat.99
FS	1446	0	0	conf.mat.folder.10.txt
HS	0	2174	0	conf.mat.folder.10.txt
UR	0	0	6280	conf.mat.folder.10.txt
FS	1544	0	0	conf.mat.folder.12.txt
HS	0	3380	0	conf.mat.folder.12.txt
UR	0	0	4976	conf.mat.folder.12.txt
FS	952	0	0	conf.mat.folder.14.txt
HS	0	2706	0	conf.mat.folder.14.txt
UR	0	0	6242	conf.mat.folder.14.txt
FS	1730	0	0	conf.mat.folder.20.txt
HS	0	3722	0	conf.mat.folder.20.txt
UR	0	0	4448	conf.mat.folder.20.txt
FS	1104	0	0	conf.mat.folder.21.txt
HS	0	2446	0	conf.mat.folder.21.txt
UR	0	0	6350	conf.mat.folder.21.txt
FS	1024	0	0	conf.mat.folder.22.txt
HS	0	2652	0	conf.mat.folder.22.txt
UR	0	0	6224	conf.mat.folder.22.txt
FS	1186	0	0	conf.mat.folder.23.txt
HS	0	2804	0	conf.mat.folder.23.txt
UR	0	0	5910	conf.mat.folder.23.txt
FS	848	0	0	conf.mat.folder.24.txt
HS	0	2948	0	conf.mat.folder.24.txt
UR	0	0	6104	conf.mat.folder.24.txt
FS	980	0	0	conf.mat.folder.30.txt
HS	0	2308	0	conf.mat.folder.30.txt
UR	0	0	6612	conf.mat.folder.30.txt
FS	1390	0	0	conf.mat.folder.32.txt
HS	0	2878	0	conf.mat.folder.32.txt
UR	0	0	5632	conf.mat.folder.32.txt
FS	1194	0	0	conf.mat.folder.33.txt
HS	0	3138	0	conf.mat.folder.33.txt
UR	0	0	5568	conf.mat.folder.33.txt
FS	950	0	0	conf.mat.folder.37.txt
HS	0	3286	0	conf.mat.folder.37.txt
UR	0	0	5664	conf.mat.folder.37.txt
FS	1138	0	0	conf.mat.folder.38.txt
HS	0	3270	0	conf.mat.folder.38.txt
UR	0	0	5492	conf.mat.folder.38.txt
FS	1148	0	0	conf.mat.folder.42.txt
HS	0	2446	0	conf.mat.folder.42.txt
UR	0	0	6306	conf.mat.folder.42.txt
FS	1394	0	0	conf.mat.folder.44.txt
HS	0	3652	0	conf.mat.folder.44.txt
UR	0	0	4854	conf.mat.folder.44.txt
FS	696	0	0	conf.mat.folder.45.txt
HS	0	2986	0	conf.mat.folder.45.txt
UR	0	0	6218	conf.mat.folder.45.txt
FS	960	0	0	conf.mat.folder.46.txt
HS	0	3236	0	conf.mat.folder.46.txt
UR	0	0	5704	conf.mat.folder.46.txt
FS	1204	0	0	conf.mat.folder.48.txt
HS	0	2114	0	conf.mat.folder.48.txt
UR	0	0	6582	conf.mat.folder.48.txt
FS	768	0	0	conf.mat.folder.50.txt
HS	0	2898	0	conf.mat.folder.50.txt
UR	0	0	6234	conf.mat.folder.50.txt
FS	1018	0	0	conf.mat.folder.52.txt
HS	0	2616	0	conf.mat.folder.52.txt
UR	0	0	6266	conf.mat.folder.52.txt
FS	904	0	0	conf.mat.folder.53.txt
HS	0	2826	0	conf.mat.folder.53.txt
UR	0	0	6170	conf.mat.folder.53.txt
FS	604	0	0	conf.mat.folder.54.txt
HS	0	3116	0	conf.mat.folder.54.txt
UR	0	0	6180	conf.mat.folder.54.txt
FS	622	0	0	conf.mat.folder.58.txt
HS	0	2998	0	conf.mat.folder.58.txt
UR	0	0	6280	conf.mat.folder.58.txt
FS	924	0	0	conf.mat.folder.60.txt
HS	0	2900	0	conf.mat.folder.60.txt
UR	0	0	6076	conf.mat.folder.60.txt
FS	1324	0	0	conf.mat.folder.64.txt
HS	0	2712	0	conf.mat.folder.64.txt
UR	0	0	5864	conf.mat.folder.64.txt
FS	1116	0	0	conf.mat.folder.65.txt
HS	0	3526	0	conf.mat.folder.65.txt
UR	0	0	5258	conf.mat.folder.65.txt
FS	1012	0	0	conf.mat.folder.67.txt
HS	0	3284	0	conf.mat.folder.67.txt
UR	0	0	5604	conf.mat.folder.67.txt
FS	1818	0	0	conf.mat.folder.70.txt
HS	0	2508	0	conf.mat.folder.70.txt
UR	0	0	5574	conf.mat.folder.70.txt
FS	1282	0	0	conf.mat.folder.74.txt
HS	0	2268	0	conf.mat.folder.74.txt
UR	0	0	6350	conf.mat.folder.74.txt
FS	1070	0	0	conf.mat.folder.75.txt
HS	0	3406	0	conf.mat.folder.75.txt
UR	0	0	5424	conf.mat.folder.75.txt
FS	1020	0	0	conf.mat.folder.76.txt
HS	0	2522	0	conf.mat.folder.76.txt
UR	0	0	6358	conf.mat.folder.76.txt
FS	1134	0	0	conf.mat.folder.77.txt
HS	0	3164	0	conf.mat.folder.77.txt
UR	0	0	5602	conf.mat.folder.77.txt
FS	1600	0	0	conf.mat.folder.7.txt
HS	0	2784	0	conf.mat.folder.7.txt
UR	0	0	5516	conf.mat.folder.7.txt
FS	944	0	0	conf.mat.folder.80.txt
HS	0	3176	0	conf.mat.folder.80.txt
UR	0	0	5780	conf.mat.folder.80.txt
FS	1350	0	0	conf.mat.folder.82.txt
HS	0	3780	0	conf.mat.folder.82.txt
UR	0	0	4770	conf.mat.folder.82.txt
FS	734	0	0	conf.mat.folder.83.txt
HS	0	3382	0	conf.mat.folder.83.txt
UR	0	0	5784	conf.mat.folder.83.txt
FS	1314	0	0	conf.mat.folder.85.txt
HS	0	2828	0	conf.mat.folder.85.txt
UR	0	0	5758	conf.mat.folder.85.txt
FS	1334	0	0	conf.mat.folder.87.txt
HS	0	2270	0	conf.mat.folder.87.txt
UR	0	0	6296	conf.mat.folder.87.txt
FS	920	0	0	conf.mat.folder.88.txt
HS	0	3098	0	conf.mat.folder.88.txt
UR	0	0	5882	conf.mat.folder.88.txt
FS	1010	0	0	conf.mat.folder.89.txt
HS	0	2670	0	conf.mat.folder.89.txt
UR	0	0	6220	conf.mat.folder.89.txt
FS	960	0	0	conf.mat.folder.90.txt
HS	0	3476	0	conf.mat.folder.90.txt
UR	0	0	5464	conf.mat.folder.90.txt
FS	948	0	0	conf.mat.folder.91.txt
HS	0	3150	0	conf.mat.folder.91.txt
UR	0	0	5802	conf.mat.folder.91.txt
FS	1200	0	0	conf.mat.folder.92.txt
HS	0	2988	0	conf.mat.folder.92.txt
UR	0	0	5712	conf.mat.folder.92.txt
FS	1064	0	0	conf.mat.folder.96.txt
HS	0	2422	0	conf.mat.folder.96.txt
UR	0	0	6414	conf.mat.folder.96.txt
FS	1130	0	0	conf.mat.folder.97.txt
HS	0	2520	0	conf.mat.folder.97.txt
UR	0	0	6250	conf.mat.folder.97.txt
FS	1384	0	0	conf.mat.folder.98.txt
HS	0	2434	0	conf.mat.folder.98.txt
UR	0	0	6082	conf.mat.folder.98.txt
FS	1048	0	0	conf.mat.folder.9.txt
HS	0	3116	0	conf.mat.folder.9.txt
UR	0	0	5736	conf.mat.folder.9.txt
