n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
10	4	6	1.5	268394	80619.33	2	40309.67	1	6	13436.556	Before	0	90
10	4	6	1.5	100	29.67	2	14.83	1	6	4.944	After	0	90
10	4	6	1.5	250823	66895	2.33	33447.5	1.17	7	11149.167	Before	0	91
10	4	6	1.5	100	26	2	13	1	6	4.333	After	1	91
10	3	7	2.33	140706	34467.5	4	9847.86	1.14	8	4923.929	Before	0	92
9	3	6	2	100	30.5	3.5	10.17	1.17	7	5.083	After	1	92
10	4	6	1.5	259996	60579.67	3	30289.83	1.5	9	10096.611	Before	0	93
9	4	5	1.25	100	19.33	2.67	11.6	1.6	8	3.867	After	2	93
10	4	6	1.5	295745	79642.67	2	39821.33	1	6	13273.778	Before	0	94
10	4	6	1.5	100	28.33	2	14.17	1	6	4.722	After	0	94
10	4	6	1.5	155725	41069	2.33	20534.5	1.17	7	6844.833	Before	0	95
10	4	6	1.5	100	25.67	2.33	12.83	1.17	7	4.278	After	0	95
10	4	6	1.5	192549	51803.33	2	25901.67	1	6	8633.889	Before	0	96
9	4	5	1.25	100	26	1.67	15.6	1	5	5.2	After	1	96
10	4	6	1.5	181745	43665.67	2.67	21832.83	1.33	8	7277.611	Before	0	97
10	4	6	1.5	100	23	2.67	11.5	1.33	8	3.833	After	0	97
10	4	6	1.5	248840	61168	4	30584	2	12	10194.667	Before	0	98
10	4	6	1.5	100	22	3.67	11	1.83	11	3.667	After	1	98
10	5	5	1	233062	49502	3	39601.6	2.4	12	9900.4	Before	0	99
10	5	5	1	100	20.75	2.75	16.6	2.2	11	4.15	After	1	99
10	5	5	1	362124	76440	2.5	61152	2	10	15288	Before	0	100
10	5	5	1	100	21.75	2.25	17.4	1.8	9	4.35	After	1	100
